Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1008,https://www.tff.org/Default.aspx?pageId=29&macId=106365,ESKİŞEHİRSPOR,0,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,ESKİŞEHİR ATATÜRK - ESKİŞEHİR,MUSTAFA İLKER COŞKUN,17.08.2012 - 21:00
1002,https://www.tff.org/Default.aspx?pageId=29&macId=106359,KARDEMİR D.Ç. KARABÜKSPOR,1,TRABZONSPOR A.Ş.,1,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,HÜSEYİN GÖÇEK,18.08.2012 - 17:00
1001,https://www.tff.org/Default.aspx?pageId=29&macId=106358,GAZİANTEPSPOR,0,SİVASSPOR,1,KAMİL OCAK - GAZİANTEP,İLKER MERAL,18.08.2012 - 21:45
1004,https://www.tff.org/Default.aspx?pageId=29&macId=106361,SANİCA BORU ELAZIĞSPOR,1,FENERBAHÇE A.Ş.,1,İZMİR ATATÜRK - İZMİR,TOLGA ÖZKALFA,18.08.2012 - 21:45
1005,https://www.tff.org/Default.aspx?pageId=29&macId=106362,İSTANBUL BBSK,1,BEŞİKTAŞ A.Ş.,1,ATATÜRK OLİMPİYAT - İSTANBUL,ÖZGÜR YANKAYA,19.08.2012 - 20:00
1006,https://www.tff.org/Default.aspx?pageId=29&macId=106363,KAYSERİSPOR,0,BURSASPOR,1,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,BARIŞ ŞİMŞEK,19.08.2012 - 20:00
1009,https://www.tff.org/Default.aspx?pageId=29&macId=106366,MERSİN İDMANYURDU,0,ORDUSPOR,0,TEVFİK SIRRI GÜR - MERSİN,ÇAĞATAY ŞAHAN,19.08.2012 - 21:45
1007,https://www.tff.org/Default.aspx?pageId=29&macId=106364,GENÇLERBİRLİĞİ,3,MEDİCAL PARK ANTALYASPOR,1,ANKARA 19 MAYIS - ANKARA,METE KALKAVAN,20.08.2012 - 19:30
1003,https://www.tff.org/Default.aspx?pageId=29&macId=106360,GALATASARAY A.Ş.,2,KASIMPAŞA A.Ş.,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,FIRAT AYDINUS,20.08.2012 - 21:00
1014,https://www.tff.org/Default.aspx?pageId=29&macId=106371,KASIMPAŞA A.Ş.,2,KARDEMİR D.Ç. KARABÜKSPOR,1,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL - BEYOĞLU,HÜSEYİN SABANCI,24.08.2012 - 21:00
