Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1004,https://www.tff.org/Default.aspx?pageId=397&macId=5085,GENÇLERBİRLİĞİ,0,FENERBAHÇE,0,ANKARA 19 MAYIS,EROL ERSOY,5.08.2005 - 20:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=5087,KAYSERİ ERCİYESSPOR,1,BEŞİKTAŞ A.Ş.,1,KAYSERİ ATATÜRK,İSMET ARZUMAN,6.08.2005 - 19:00
1001,https://www.tff.org/Default.aspx?pageId=397&macId=5086,DİYARBAKIRSPOR,1,ÇAYKUR RİZESPOR,0,DİYARBAKIR ATATÜRK,OKTAY DEMİRAY,6.08.2005 - 20:00
1008,https://www.tff.org/Default.aspx?pageId=397&macId=5089,SİVASSPOR,1,MALATYASPOR,1,ATATÜRK OLİMPİYAT,ORHAN ERDEMİR,6.08.2005 - 20:00
1005,https://www.tff.org/Default.aspx?pageId=397&macId=5088,TRABZONSPOR A.Ş.,2,KAYSERİSPOR,1,HÜSEYİN AVNİ AKER,BÜLENT DEMİRLEK,6.08.2005 - 21:15
1002,https://www.tff.org/Default.aspx?pageId=397&macId=5090,DENİZLİSPOR,1,ANKARASPOR A.Ş.,1,DENİZLİ ATATÜRK,FIRAT AYDINUS,7.08.2005 - 20:00
1006,https://www.tff.org/Default.aspx?pageId=397&macId=5091,GALATASARAY A.Ş.,2,KONYASPOR,1,ALİ SAMİ YEN,CEM PAPİLA,7.08.2005 - 20:00
1007,https://www.tff.org/Default.aspx?pageId=397&macId=5092,VESTEL MANİSASPOR,2,MKE ANKARAGÜCÜ,2,İZMİR ALSANCAK,KUDDUSİ MÜFTÜOĞLU,7.08.2005 - 20:00
1009,https://www.tff.org/Default.aspx?pageId=397&macId=5093,SAMSUNSPOR,2,GAZİANTEPSPOR,3,SAMSUN 19 MAYIS,SÜLEYMAN ABAY,7.08.2005 - 20:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=5103,MKE ANKARAGÜCÜ,0,GALATASARAY A.Ş.,1,ANKARA 19 MAYIS,SELÇUK DERELİ,12.08.2005 - 20:00
1011,https://www.tff.org/Default.aspx?pageId=397&macId=5104,MALATYASPOR,0,VESTEL MANİSASPOR,5,MALATYA İNÖNÜ,MEHMET FATİH GÖKÇE,13.08.2005 - 20:00
1016,https://www.tff.org/Default.aspx?pageId=397&macId=5106,ÇAYKUR RİZESPOR,1,SAMSUNSPOR,2,RİZE ATATÜRK,YUNUS YILDIRIM,13.08.2005 - 20:00
1018,https://www.tff.org/Default.aspx?pageId=397&macId=5107,GAZİANTEPSPOR,0,SİVASSPOR,0,5 OCAK,TOLGA ÖZKALFA,13.08.2005 - 20:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=5105,FENERBAHÇE,2,DİYARBAKIRSPOR,2,FB ŞÜKRÜ SARACOĞLU,SERDAR TATLI,13.08.2005 - 20:04
1013,https://www.tff.org/Default.aspx?pageId=397&macId=5109,KONYASPOR,0,TRABZONSPOR A.Ş.,0,KONYA ATATÜRK,CÜNEYT ÇAKIR,14.08.2005 - 19:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=5108,ANKARASPOR A.Ş.,0,GENÇLERBİRLİĞİ,0,ANKARA 19 MAYIS,METİN TOKAT,14.08.2005 - 20:00
1017,https://www.tff.org/Default.aspx?pageId=397&macId=5111,KAYSERİSPOR,1,KAYSERİ ERCİYESSPOR,2,KAYSERİ ATATÜRK,HAKAN SİVRİSERVİ,14.08.2005 - 20:00
1014,https://www.tff.org/Default.aspx?pageId=397&macId=5110,BEŞİKTAŞ A.Ş.,2,DENİZLİSPOR,0,BEŞİKTAŞ İNÖNÜ,ÖZGÜÇ TÜRKALP,14.08.2005 - 21:15
1021,https://www.tff.org/Default.aspx?pageId=397&macId=5129,TRABZONSPOR A.Ş.,3,MKE ANKARAGÜCÜ,1,HÜSEYİN AVNİ AKER,METİN AYDOĞAN,20.08.2005 - 19:00
1019,https://www.tff.org/Default.aspx?pageId=397&macId=5127,SAMSUNSPOR,1,SİVASSPOR,2,SAMSUN 19 MAYIS,YILNUR ÖNEN,20.08.2005 - 20:00
1023,https://www.tff.org/Default.aspx?pageId=397&macId=5130,DENİZLİSPOR,1,KAYSERİSPOR,3,DENİZLİ ATATÜRK,MUSTAFA ÇULCU,20.08.2005 - 20:00
1020,https://www.tff.org/Default.aspx?pageId=397&macId=5128,GENÇLERBİRLİĞİ,0,BEŞİKTAŞ A.Ş.,2,ANKARA 19 MAYIS,SERDAR TATLI,20.08.2005 - 21:15
1026,https://www.tff.org/Default.aspx?pageId=397&macId=5134,ÇAYKUR RİZESPOR,1,FENERBAHÇE,2,RİZE ATATÜRK,METİN TOKAT,21.08.2005 - 19:00
1022,https://www.tff.org/Default.aspx?pageId=397&macId=5131,DİYARBAKIRSPOR,1,ANKARASPOR A.Ş.,2,DİYARBAKIR ATATÜRK,CEM DEDA,21.08.2005 - 20:00
1024,https://www.tff.org/Default.aspx?pageId=397&macId=5132,KAYSERİ ERCİYESSPOR,0,KONYASPOR,0,KAYSERİ ATATÜRK,BÜLENT YILDIRIM,21.08.2005 - 20:00
1025,https://www.tff.org/Default.aspx?pageId=397&macId=5133,VESTEL MANİSASPOR,1,GAZİANTEPSPOR,2,İZMİR ALSANCAK,AYTEKİN DURMAZ,21.08.2005 - 20:00
1027,https://www.tff.org/Default.aspx?pageId=397&macId=5135,GALATASARAY A.Ş.,5,MALATYASPOR,2,ALİ SAMİ YEN,ZAFER ÖNDER İPEK,21.08.2005 - 21:18
1036,https://www.tff.org/Default.aspx?pageId=397&macId=5151,GAZİANTEPSPOR,2,GALATASARAY A.Ş.,2,KAMİL OCAK,İSMET ARZUMAN,26.08.2005 - 20:00
1028,https://www.tff.org/Default.aspx?pageId=397&macId=5152,KONYASPOR,1,DENİZLİSPOR,0,KONYA ATATÜRK,SÜLEYMAN ABAY,27.08.2005 - 20:00
1030,https://www.tff.org/Default.aspx?pageId=397&macId=5153,SİVASSPOR,1,VESTEL MANİSASPOR,0,ATATÜRK OLİMPİYAT,CEM PAPİLA,27.08.2005 - 20:00
1033,https://www.tff.org/Default.aspx?pageId=397&macId=5154,ANKARASPOR A.Ş.,0,ÇAYKUR RİZESPOR,0,ANKARA 19 MAYIS,KUDDUSİ MÜFTÜOĞLU,27.08.2005 - 20:00
1034,https://www.tff.org/Default.aspx?pageId=397&macId=5155,FENERBAHÇE,5,SAMSUNSPOR,2,FB ŞÜKRÜ SARACOĞLU,BÜLENT DEMİRLEK,27.08.2005 - 20:00
1035,https://www.tff.org/Default.aspx?pageId=397&macId=5159,MALATYASPOR,1,TRABZONSPOR A.Ş.,1,MALATYA İNÖNÜ,EROL ERSOY,28.08.2005 - 19:00
1031,https://www.tff.org/Default.aspx?pageId=397&macId=5157,MKE ANKARAGÜCÜ,1,KAYSERİ ERCİYESSPOR,2,ANKARA 19 MAYIS,YUNUS YILDIRIM,28.08.2005 - 20:00
1032,https://www.tff.org/Default.aspx?pageId=397&macId=5158,KAYSERİSPOR,2,GENÇLERBİRLİĞİ,0,KAYSERİ ATATÜRK,FIRAT AYDINUS,28.08.2005 - 20:00
1029,https://www.tff.org/Default.aspx?pageId=397&macId=5156,BEŞİKTAŞ A.Ş.,1,DİYARBAKIRSPOR,1,BEŞİKTAŞ İNÖNÜ,ORHAN ERDEMİR,28.08.2005 - 21:15
1039,https://www.tff.org/Default.aspx?pageId=397&macId=5298,ÇAYKUR RİZESPOR,1,BEŞİKTAŞ A.Ş.,0,RİZE ATATÜRK,SELÇUK DERELİ,10.09.2005 - 18:30
1037,https://www.tff.org/Default.aspx?pageId=397&macId=5296,DİYARBAKIRSPOR,0,KAYSERİSPOR,2,DİYARBAKIR ATATÜRK,TOLGA ÖZKALFA,10.09.2005 - 20:00
