Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1007,https://www.tff.org/Default.aspx?pageId=397&macId=28448,GALATASARAY                                       ,1,GAZİANTEPSPOR                                     ,2,ALİ SAMİ YEN,BÜLENT UZUN,6.08.1999 - 20:00
1001,https://www.tff.org/Default.aspx?pageId=397&macId=28442,GENÇLERBİRLİĞİ                                    ,1,BEŞİKTAŞ                                          ,0,ANKARA 19 MAYIS,ÜNSAL ÇİMEN,7.08.1999 - 19:00
1009,https://www.tff.org/Default.aspx?pageId=397&macId=28450,SAMSUNSPOR                                        ,2,MKE ANKARAGÜCÜ                                    ,0,SAMSUN 19 MAYIS,MUHİTTİN BOŞAT,7.08.1999 - 19:00
1002,https://www.tff.org/Default.aspx?pageId=397&macId=28443,FENERBAHÇE                                        ,3,VANSPOR A.Ş.                                      ,0,FB ŞÜKRÜ SARACOĞLU,İBRAHİM AKSOY,8.08.1999 - 19:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=28444,GÖZTEPE A.Ş.                                      ,0,KOCAELİSPOR                                       ,0,İZMİR ATATÜRK,ALİ AYDIN,8.08.1999 - 19:00
1004,https://www.tff.org/Default.aspx?pageId=397&macId=28445,ERZURUMSPOR                                       ,0,DENİZLİSPOR                                       ,1,CEMAL GÜRSEL,İSMET ARZUMAN,8.08.1999 - 19:00
1005,https://www.tff.org/Default.aspx?pageId=397&macId=28446,BURSASPOR                                         ,1,ALTAY                                             ,4,BURSA ATATÜRK,CEM TOSYALI,8.08.1999 - 19:00
1006,https://www.tff.org/Default.aspx?pageId=397&macId=28447,ANTALYASPOR A.Ş.                                  ,0,İSTANBULSPOR A.Ş.                                 ,3,ANTALYA ATATÜRK,METİN KARAASLAN,8.08.1999 - 19:00
1008,https://www.tff.org/Default.aspx?pageId=397&macId=28449,ADANASPOR A.Ş.                                    ,1,TRABZONSPOR                                       ,2,5 OCAK,MURAT ILGAZ,8.08.1999 - 19:00
1017,https://www.tff.org/Default.aspx?pageId=397&macId=28459,ALTAY                                             ,0,GÖZTEPE A.Ş.                                      ,0,İZMİR ATATÜRK,ORHAN ERDEMİR,13.08.1999 - 20:00
1013,https://www.tff.org/Default.aspx?pageId=397&macId=28460,İSTANBULSPOR A.Ş.                                 ,1,BURSASPOR                                         ,0,BAYRAMPAŞA ÇETİN EMEÇ,ALİ ULUYOL,14.08.1999 - 18:00
1014,https://www.tff.org/Default.aspx?pageId=397&macId=28461,FENERBAHÇE                                        ,1,KOCAELİSPOR                                       ,1,FB ŞÜKRÜ SARACOĞLU,OĞUZ SARVAN,14.08.1999 - 19:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=28462,VANSPOR A.Ş.                                      ,0,ERZURUMSPOR                                       ,2,VALİ MAHMUT YILBAŞ,MUSTAFA ÇULCU,15.08.1999 - 19:00
1011,https://www.tff.org/Default.aspx?pageId=397&macId=28463,TRABZONSPOR                                       ,1,GALATASARAY                                       ,2,HÜSEYİN AVNİ AKER,EROL ERSOY,15.08.1999 - 19:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=28464,GAZİANTEPSPOR                                     ,1,ANTALYASPOR A.Ş.                                  ,2,KAMİL OCAK,SADIK İLHAN,15.08.1999 - 19:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=28465,DENİZLİSPOR                                       ,1,GENÇLERBİRLİĞİ                                    ,3,DENİZLİ ATATÜRK,MUSA ERYILMAZ,15.08.1999 - 19:00
1016,https://www.tff.org/Default.aspx?pageId=397&macId=28466,BEŞİKTAŞ                                          ,4,SAMSUNSPOR                                        ,0,BEŞİKTAŞ İNÖNÜ,METİN TOKAT,15.08.1999 - 19:00
