Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1008,https://www.tff.org/Default.aspx?pageId=29&macId=207161,YUKATEL DENİZLİSPOR,2,GALATASARAY A.Ş.,0,DENİZLİ ATATÜRK STADI - DENİZLİ,ABDULKADİR BİTİGEN,16.08.2019 - 20:30
1004,https://www.tff.org/Default.aspx?pageId=29&macId=207157,GENÇLERBİRLİĞİ,0,ÇAYKUR RİZESPOR A.Ş.,1,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,BAHATTİN ŞİMŞEK,17.08.2019 - 19:15
1001,https://www.tff.org/Default.aspx?pageId=29&macId=207154,DEMİR GRUP SİVASSPOR,3,BEŞİKTAŞ A.Ş.,0,YENİ 4 EYLÜL STADI - SİVAS,MUSTAFA ÖĞRETMENOĞLU,17.08.2019 - 21:45
1006,https://www.tff.org/Default.aspx?pageId=29&macId=207159,İSTİKBAL MOBİLYA KAYSERİSPOR,0,ALANYASPOR,1,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,TUGAY KAAN NUMANOĞLU,17.08.2019 - 21:45
1007,https://www.tff.org/Default.aspx?pageId=29&macId=207160,KONYASPOR,0,MKE ANKARAGÜCÜ,0,KONYA BÜYÜKŞEHİR BELEDİYE STADYUMU - KONYA,BÜLENT BİRİNCİOĞLU,18.08.2019 - 19:15
1003,https://www.tff.org/Default.aspx?pageId=29&macId=207156,YENİ MALATYASPOR,3,MEDİPOL BAŞAKŞEHİR FK,0,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,HÜSEYİN GÖÇEK,18.08.2019 - 21:45
1005,https://www.tff.org/Default.aspx?pageId=29&macId=207158,KASIMPAŞA A.Ş.,1,TRABZONSPOR A.Ş.,1,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,CÜNEYT ÇAKIR,18.08.2019 - 21:45
1009,https://www.tff.org/Default.aspx?pageId=29&macId=207162,GÖZTEPE A.Ş.,0,ANTALYASPOR A.Ş.,1,BORNOVA AZİZ KOCAOĞLU STADYUMU - İZMİR - BORNOVA,ZORBAY KÜÇÜK,18.08.2019 - 21:45
1002,https://www.tff.org/Default.aspx?pageId=29&macId=207155,FENERBAHÇE A.Ş.,5,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,0,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,ARDA KARDEŞLER,19.08.2019 - 20:00
1016,https://www.tff.org/Default.aspx?pageId=29&macId=207169,BEŞİKTAŞ A.Ş.,3,GÖZTEPE A.Ş.,0,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,ALİ PALABIYIK,23.08.2019 - 20:30
1012,https://www.tff.org/Default.aspx?pageId=29&macId=207165,MKE ANKARAGÜCÜ,1,İSTİKBAL MOBİLYA KAYSERİSPOR,1,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,ALİ ŞANSALAN,24.08.2019 - 19:15
1013,https://www.tff.org/Default.aspx?pageId=29&macId=207166,ALANYASPOR,4,KASIMPAŞA A.Ş.,1,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,SERKAN TOKAT,24.08.2019 - 21:45
1014,https://www.tff.org/Default.aspx?pageId=29&macId=207167,MEDİPOL BAŞAKŞEHİR FK,1,FENERBAHÇE A.Ş.,2,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,HALİL UMUT MELER,24.08.2019 - 21:45
1015,https://www.tff.org/Default.aspx?pageId=29&macId=207168,ÇAYKUR RİZESPOR A.Ş.,2,DEMİR GRUP SİVASSPOR,1,ÇAYKUR DİDİ - RİZE,FIRAT AYDINUS,25.08.2019 - 19:15
1017,https://www.tff.org/Default.aspx?pageId=29&macId=207170,TRABZONSPOR A.Ş.,2,YENİ MALATYASPOR,1,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,KORAY GENÇERLER,25.08.2019 - 19:15
1018,https://www.tff.org/Default.aspx?pageId=29&macId=207171,ANTALYASPOR A.Ş.,0,YUKATEL DENİZLİSPOR,2,ANTALYA STADYUMU - ANTALYA,VOLKAN BAYARSLAN,25.08.2019 - 21:45
1011,https://www.tff.org/Default.aspx?pageId=29&macId=207164,GALATASARAY A.Ş.,1,KONYASPOR,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU ,METE KALKAVAN,25.08.2019 - 21:49
1010,https://www.tff.org/Default.aspx?pageId=29&macId=207163,GAZİŞEHİR GAZİANTEP FUTBOL KULÜBÜ,4,GENÇLERBİRLİĞİ,1,KALYON STADYUMU - GAZİANTEP,ATİLLA KARAOĞLAN,26.08.2019 - 20:00
1021,https://www.tff.org/Default.aspx?pageId=29&macId=207174,KASIMPAŞA A.Ş.,0,MKE ANKARAGÜCÜ,1,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,ZORBAY KÜÇÜK,30.08.2019 - 20:30
1027,https://www.tff.org/Default.aspx?pageId=29&macId=207180,İSTİKBAL MOBİLYA KAYSERİSPOR,2,GALATASARAY A.Ş.,3,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,MUSTAFA ÖĞRETMENOĞLU,30.08.2019 - 20:30
1025,https://www.tff.org/Default.aspx?pageId=29&macId=207178,KONYASPOR,2,ANTALYASPOR A.Ş.,2,KONYA BÜYÜKŞEHİR BELEDİYE STADYUMU - KONYA,ÜMİT ÖZTÜRK,31.08.2019 - 19:15
