Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1003,https://www.tff.org/Default.aspx?pageId=397&macId=50750,GALATASARAY                   ,3,ZEYTİNBURNUSPOR               ,0,ALİ SAMİ YEN,SERDAR ÇAKIR,28.08.1993 - 19:00
1004,https://www.tff.org/Default.aspx?pageId=397&macId=50752,TRABZONSPOR                   ,1,BURSASPOR                     ,1,HÜSEYİN AVNİ AKER,AHMET ÇAKAR,29.08.1993 - 15:00
1001,https://www.tff.org/Default.aspx?pageId=397&macId=50751,MKE ANKARAGÜCÜ                ,2,KARŞIYAKA                     ,0,ANKARA 19 MAYIS,ERGÜL YÜCEDAĞ,29.08.1993 - 15:30
1002,https://www.tff.org/Default.aspx?pageId=397&macId=50754,D.Ç. KARABÜKSPOR              ,0,SAMSUNSPOR                    ,3,KARABÜK YENİŞEHİR,TURGUT SIĞIÇ,29.08.1993 - 15:30
1005,https://www.tff.org/Default.aspx?pageId=397&macId=50755,KOCAELİSPOR                   ,2,SARIYER                       ,1, İSMETPAŞA,VAHAP BEYAZ,29.08.1993 - 15:30
1007,https://www.tff.org/Default.aspx?pageId=397&macId=50756,BEŞİKTAŞ                      ,3,GENÇLERBİRLİĞİ                ,0,BURSA ATATÜRK,ENGİN KURT,29.08.1993 - 15:30
1006,https://www.tff.org/Default.aspx?pageId=397&macId=50707,GAZIANTEPSPOR                 ,4,KAYSERİSPOR                   ,0,KAMİL OCAK,ALİCAN LAKOT,29.08.1993 - 15:32
1008,https://www.tff.org/Default.aspx?pageId=397&macId=50706,ALTAY                         ,1,FENERBAHÇE                    ,2,İZMİR ATATÜRK,BÜLENT YAVUZ,29.08.1993 - 19:02
1009,https://www.tff.org/Default.aspx?pageId=397&macId=50708,KARŞIYAKA                     ,0,D.Ç. KARABÜKSPOR              ,0,İZMİR ALSANCAK,OSMAN AVCI,5.09.1993 - 15:30
1010,https://www.tff.org/Default.aspx?pageId=397&macId=50711,GENÇLERBİRLİĞİ                ,3,ALTAY                         ,1,ANKARA 19 MAYIS,NEDİM GÖKLÜ,5.09.1993 - 15:30
1011,https://www.tff.org/Default.aspx?pageId=397&macId=50712,KAYSERİSPOR                   ,3,BEŞİKTAŞ                      ,1,KAYSERİ ATATÜRK,ÜNSAL ÇİMEN,5.09.1993 - 15:30
1012,https://www.tff.org/Default.aspx?pageId=397&macId=50713,SARIYER                       ,1,GAZIANTEPSPOR                 ,1,YUSUF ZİYA ÖNİŞ,MUSTAFA ARSLAN,5.09.1993 - 15:30
1013,https://www.tff.org/Default.aspx?pageId=397&macId=50714,BURSASPOR                     ,2,KOCAELİSPOR                   ,3,BURSA ATATÜRK,METİN TOKAT,5.09.1993 - 15:30
1014,https://www.tff.org/Default.aspx?pageId=397&macId=50718,ZEYTİNBURNUSPOR               ,0,TRABZONSPOR                   ,0,BEŞİKTAŞ İNÖNÜ,SEFER ALTUNTAŞ,5.09.1993 - 15:30
1015,https://www.tff.org/Default.aspx?pageId=397&macId=50716,SAMSUNSPOR                    ,1,GALATASARAY                   ,1,SAMSUN 19 MAYIS,ERMAN TOROĞLU,5.09.1993 - 15:30
1016,https://www.tff.org/Default.aspx?pageId=397&macId=50720,FENERBAHÇE                    ,4,MKE ANKARAGÜCÜ                ,3,FB ŞÜKRÜ SARACOĞLU,İBRAHİM AKSOY,5.09.1993 - 15:30
1022,https://www.tff.org/Default.aspx?pageId=397&macId=50773,BEŞİKTAŞ                      ,2,SARIYER                       ,0,BEŞİKTAŞ İNÖNÜ,HALİL TANER YALÇINDAĞ,11.09.1993 - 19:00
1021,https://www.tff.org/Default.aspx?pageId=397&macId=50784,GAZIANTEPSPOR                 ,3,BURSASPOR                     ,0,KAMİL OCAK,VAHAP BEYAZ,12.09.1993 - 15:00
