Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1009,https://www.tff.org/Default.aspx?pageId=397&macId=47531,ZEYTİNBURNUSPOR               ,1,FENERBAHÇE                    ,4,FB ŞÜKRÜ SARACOĞLU,SABRİ ÇELİK,13.08.1994 - 19:00
1002,https://www.tff.org/Default.aspx?pageId=397&macId=47524,TRABZONSPOR                   ,3,ALTAY                         ,1,HÜSEYİN AVNİ AKER,MUSTAFA ARSLAN,14.08.1994 - 16:00
1005,https://www.tff.org/Default.aspx?pageId=397&macId=47527,VANSPOR                       ,3,KAYSERİSPOR                   ,0,VALİ MAHMUT YILBAŞ,ALİCAN LAKOT,14.08.1994 - 16:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=47525,ADANA DEMİRSPOR               ,1,ANTALYASPOR                   ,0,5 OCAK,ENGİN KURT,14.08.1994 - 16:30
1008,https://www.tff.org/Default.aspx?pageId=397&macId=47530,MKE ANKARAGÜCÜ                ,1,ADNAN ERKAN,0,ANKARA 19 MAYIS,GALİP BİTİGEN,14.08.1994 - 16:34
1006,https://www.tff.org/Default.aspx?pageId=397&macId=47528,KOCAELİSPOR                   ,0,SAMSUNSPOR                    ,0, İSMETPAŞA,METİN TOKAT,14.08.1994 - 17:00
1007,https://www.tff.org/Default.aspx?pageId=397&macId=47529,DENİZLİSPOR                   ,1,BEŞİKTAŞ,3,DENİZLİ ŞEHİR,BÜLENT YAVUZ,14.08.1994 - 17:00
1004,https://www.tff.org/Default.aspx?pageId=397&macId=47526,BURSASPOR                     ,5,PETROLOFİSİ                   ,2,BURSA ATATÜRK,MUHİTTİN BOŞAT,14.08.1994 - 17:05
1001,https://www.tff.org/Default.aspx?pageId=397&macId=47523,GALATASARAY                   ,3,GENÇLERBİRLİĞİ                ,1,ALİ SAMİ YEN,MUSTAFA ÇULCU,14.08.1994 - 19:00
1018,https://www.tff.org/Default.aspx?pageId=397&macId=47540,FENERBAHÇE                    ,2,MKE ANKARAGÜCÜ                ,1,FB ŞÜKRÜ SARACOĞLU,OĞUZ SARVAN,20.08.1994 - 19:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=47537,PETROLOFİSİ                   ,0,GALATASARAY                   ,3,ANKARA 19 MAYIS,ÜNSAL ÇİMEN,20.08.1994 - 19:04
1013,https://www.tff.org/Default.aspx?pageId=397&macId=47535,SAMSUNSPOR                    ,2,VANSPOR                       ,1,SAMSUN 19 MAYIS,EROL ERSOY,21.08.1994 - 16:30
1017,https://www.tff.org/Default.aspx?pageId=397&macId=47539,KAYSERİSPOR                   ,4,ADANA DEMİRSPOR               ,2,KAYSERİ ATATÜRK,AHMET İBANOĞLU,21.08.1994 - 16:30
1014,https://www.tff.org/Default.aspx?pageId=397&macId=47536,ANTALYASPOR                   ,1,TRABZONSPOR                   ,3,ANTALYA ATATÜRK,İBRAHİM AKSOY,21.08.1994 - 17:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=47532,ALTAY                         ,1,BURSASPOR                     ,1,İZMİR ALSANCAK,TURGUT SIĞIÇ,21.08.1994 - 17:05
1016,https://www.tff.org/Default.aspx?pageId=397&macId=47538,GENÇLERBİRLİĞİ                ,1,ZEYTİNBURNUSPOR               ,1,ANKARA 19 MAYIS,SELAMİ ŞİMŞEK,21.08.1994 - 19:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=47534,BEŞİKTAŞ                      ,7,KOCAELİSPOR                   ,1,BEŞİKTAŞ İNÖNÜ,SERDAR ÇAKMAN,21.08.1994 - 19:03
1307,https://www.tff.org/Default.aspx?pageId=397&macId=48232,GAZİANTEPSPOR                 ,3,DENİZLİSPOR                   ,1,KAMİL OCAK,SABRİ ÇELİK,5.10.1994 - 14:00
1025,https://www.tff.org/Default.aspx?pageId=397&macId=47547,DENİZLİSPOR                   ,2,FENERBAHÇE                    ,3,DENİZLİ ŞEHİR,METİN TOKAT,27.08.1994 - 17:05
1021,https://www.tff.org/Default.aspx?pageId=397&macId=47543,VANSPOR                       ,0,BEŞİKTAŞ                      ,2,VALİ MAHMUT YILBAŞ,VAHAP BEYAZ,28.08.1994 - 16:00
1024,https://www.tff.org/Default.aspx?pageId=397&macId=47546,ADANA DEMİRSPOR               ,2,SAMSUNSPOR                    ,0,5 OCAK,YILNUR ÖNEN,28.08.1994 - 16:30
