Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1007,https://www.tff.org/Default.aspx?pageId=397&macId=36345,MKE ANKARAGÜCÜ                                    ,0,GALATASARAY                                       ,0,ANKARA 19 MAYIS,İLHAMİ KAPLAN,1.08.1997 - 20:00
1002,https://www.tff.org/Default.aspx?pageId=397&macId=36346,FENERBAHÇE                                        ,3,GAZİANTEPSPOR                                     ,0,FB ŞÜKRÜ SARACOĞLU,ÜNSAL ÇİMEN,2.08.1997 - 16:00
1004,https://www.tff.org/Default.aspx?pageId=397&macId=36347,GENÇLERBİRLİĞİ                                    ,0,ANTALYASPOR                                       ,0,ANKARA 19 MAYIS,BÜLENT UZUN,2.08.1997 - 16:00
1005,https://www.tff.org/Default.aspx?pageId=397&macId=36348,KOCAELİSPOR                                       ,1,TRABZONSPOR                                       ,3, İSMETPAŞA,ORHAN ERDEMİR,2.08.1997 - 20:00
1001,https://www.tff.org/Default.aspx?pageId=397&macId=36349,BEŞİKTAŞ                                          ,2,ŞEKERSPOR                                         ,1,BEŞİKTAŞ İNÖNÜ,OĞUZ SARVAN,3.08.1997 - 16:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=36350,SAMSUNSPOR                                        ,2,VANSPOR A.Ş.                                      ,0,SAMSUN 19 MAYIS,SERDAR ÇAKIR,3.08.1997 - 16:00
1008,https://www.tff.org/Default.aspx?pageId=397&macId=36352,KARDEMİR D.Ç. KARABÜKSPOR                         ,3,KAYSERİSPOR                                       ,0,KARABÜK YENİŞEHİR,OSMAN AVCI,3.08.1997 - 16:00
1009,https://www.tff.org/Default.aspx?pageId=397&macId=36353,DARDANELSPOR A.Ş.                                 ,1,İSTANBULSPOR A.Ş                                  ,1,18 MART,GALİP BİTİGEN,3.08.1997 - 16:00
1006,https://www.tff.org/Default.aspx?pageId=397&macId=36351,BURSASPOR                                         ,1,ALTAY                                             ,0,BURSA ATATÜRK,YILNUR ÖNEN,3.08.1997 - 19:00
1017,https://www.tff.org/Default.aspx?pageId=397&macId=36369,TRABZONSPOR                                       ,2,VANSPOR A.Ş.                                      ,0,HÜSEYİN AVNİ AKER,AHMET ÇAKAR,8.08.1997 - 20:00
1016,https://www.tff.org/Default.aspx?pageId=397&macId=36372,ŞEKERSPOR                                         ,1,DARDANELSPOR A.Ş.                                 ,4,ANKARA 19 MAYIS,KADİR TOZLU,9.08.1997 - 17:00
1014,https://www.tff.org/Default.aspx?pageId=397&macId=36371,SAMSUNSPOR                                        ,0,FENERBAHÇE                                        ,2,SAMSUN 19 MAYIS,METİN TOKAT,9.08.1997 - 19:00
1018,https://www.tff.org/Default.aspx?pageId=397&macId=36373,İSTANBULSPOR A.Ş                                  ,2,KARDEMİR D.Ç. KARABÜKSPOR                         ,1,BEŞİKTAŞ İNÖNÜ,İBRAHİM AKSOY,9.08.1997 - 19:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=36370,GALATASARAY                                       ,4,BURSASPOR                                         ,0,ALİ SAMİ YEN,EROL ERSOY,9.08.1997 - 20:00
1011,https://www.tff.org/Default.aspx?pageId=397&macId=36375,KAYSERİSPOR                                       ,1,MKE ANKARAGÜCÜ                                    ,1,KAYSERİ ATATÜRK,ADNAN ŞEKER,10.08.1997 - 17:00
1013,https://www.tff.org/Default.aspx?pageId=397&macId=36376,ALTAY                                             ,1,KOCAELİSPOR                                       ,0,İZMİR ALSANCAK,MUHİTTİN BOŞAT,10.08.1997 - 17:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=36374,GAZİANTEPSPOR                                     ,1,ANTALYASPOR                                       ,3,KAMİL OCAK,ALİ ULUYOL,10.08.1997 - 19:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=36377,GENÇLERBİRLİĞİ                                    ,2,BEŞİKTAŞ                                          ,2,ANKARA 19 MAYIS,MUSTAFA ÇULCU,10.08.1997 - 19:00
1027,https://www.tff.org/Default.aspx?pageId=397&macId=36462,BURSASPOR                                         ,1,KAYSERİSPOR                                       ,0,BURSA ATATÜRK,NECDET ERDİLEK,22.08.1997 - 20:00
1022,https://www.tff.org/Default.aspx?pageId=397&macId=36463,BEŞİKTAŞ                                          ,2,GAZİANTEPSPOR                                     ,1,BEŞİKTAŞ İNÖNÜ,İLHAMİ KAPLAN,23.08.1997 - 19:00
1023,https://www.tff.org/Default.aspx?pageId=397&macId=36464,FENERBAHÇE                                        ,1,TRABZONSPOR                                       ,3,FB ŞÜKRÜ SARACOĞLU,EROL ERSOY,23.08.1997 - 19:00
1025,https://www.tff.org/Default.aspx?pageId=397&macId=36465,MKE ANKARAGÜCÜ                                    ,0,İSTANBULSPOR A.Ş                                  ,5,ANKARA 19 MAYIS,SADIK İLHAN,23.08.1997 - 19:00
1019,https://www.tff.org/Default.aspx?pageId=397&macId=36466,DARDANELSPOR A.Ş.                                 ,1,KARDEMİR D.Ç. KARABÜKSPOR                         ,1,18 MART,VAHAP BEYAZ,24.08.1997 - 17:00
1024,https://www.tff.org/Default.aspx?pageId=397&macId=36469,ALTAY                                             ,3,VANSPOR A.Ş.                                      ,2,İZMİR ALSANCAK,GALİP BİTİGEN,24.08.1997 - 17:00
1026,https://www.tff.org/Default.aspx?pageId=397&macId=36470,ŞEKERSPOR                                         ,0,GENÇLERBİRLİĞİ                                    ,0,ANKARA 19 MAYIS,MUSTAFA KALKANDELEN,24.08.1997 - 17:00
1020,https://www.tff.org/Default.aspx?pageId=397&macId=36467,SAMSUNSPOR                                        ,2,ANTALYASPOR                                       ,2,SAMSUN 19 MAYIS,MURAT ILGAZ,24.08.1997 - 19:00
1021,https://www.tff.org/Default.aspx?pageId=397&macId=36468,KOCAELİSPOR                                       ,1,GALATASARAY                                       ,1, İSMETPAŞA,AHMET ÇAKAR,24.08.1997 - 19:00
1036,https://www.tff.org/Default.aspx?pageId=397&macId=36598,İSTANBULSPOR A.Ş                                  ,1,BURSASPOR                                         ,1,ALİ SAMİ YEN,BÜLENT UZUN,29.08.1997 - 20:00
1028,https://www.tff.org/Default.aspx?pageId=397&macId=36599,ALTAY                                             ,0,FENERBAHÇE                                        ,2,İZMİR ATATÜRK,MUSTAFA ÇULCU,30.08.1997 - 19:00
1032,https://www.tff.org/Default.aspx?pageId=397&macId=36600,TRABZONSPOR                                       ,2,ANTALYASPOR                                       ,2,HÜSEYİN AVNİ AKER,MUHİTTİN BOŞAT,30.08.1997 - 19:00
1030,https://www.tff.org/Default.aspx?pageId=397&macId=36602,KARDEMİR D.Ç. KARABÜKSPOR                         ,1,MKE ANKARAGÜCÜ                                    ,0,KARABÜK YENİŞEHİR,KADİR TOZLU,31.08.1997 - 17:00
1034,https://www.tff.org/Default.aspx?pageId=397&macId=36605,GENÇLERBİRLİĞİ                                    ,3,DARDANELSPOR A.Ş.                                 ,0,ANKARA 19 MAYIS,OSMAN AVCI,31.08.1997 - 17:00
1035,https://www.tff.org/Default.aspx?pageId=397&macId=36606,KAYSERİSPOR                                       ,2,KOCAELİSPOR                                       ,1,KAYSERİ ATATÜRK,MEHMET ÇAYAN,31.08.1997 - 17:00
1029,https://www.tff.org/Default.aspx?pageId=397&macId=36601,SAMSUNSPOR                                        ,0,BEŞİKTAŞ                                          ,0,SAMSUN 19 MAYIS,ÜNSAL ÇİMEN,31.08.1997 - 19:00
1031,https://www.tff.org/Default.aspx?pageId=397&macId=36603,GALATASARAY                                       ,6,VANSPOR A.Ş.                                      ,2,ALİ SAMİ YEN,YILNUR ÖNEN,31.08.1997 - 19:00
1033,https://www.tff.org/Default.aspx?pageId=397&macId=36604,GAZİANTEPSPOR                                     ,1,ŞEKERSPOR                                         ,1,KAMİL OCAK,ORHAN ERDEMİR,31.08.1997 - 19:00
1037,https://www.tff.org/Default.aspx?pageId=397&macId=36711,BEŞİKTAŞ                                          ,3,TRABZONSPOR                                       ,0,BEŞİKTAŞ İNÖNÜ,OĞUZ SARVAN,5.09.1997 - 20:00
1045,https://www.tff.org/Default.aspx?pageId=397&macId=36713,BURSASPOR                                         ,4,KARDEMİR D.Ç. KARABÜKSPOR                         ,0,BURSA ATATÜRK,ALİ ULUYOL,5.09.1997 - 20:00
1042,https://www.tff.org/Default.aspx?pageId=397&macId=36712,FENERBAHÇE                                        ,3,GALATASARAY                                       ,1,FB ŞÜKRÜ SARACOĞLU,MUHİTTİN BOŞAT,5.09.1997 - 20:08
1039,https://www.tff.org/Default.aspx?pageId=397&macId=36714,ŞEKERSPOR                                         ,2,SAMSUNSPOR                                        ,1,ANKARA 19 MAYIS,SERDAR TATLI,6.09.1997 - 16:00
1043,https://www.tff.org/Default.aspx?pageId=397&macId=36717,KAYSERİSPOR                                       ,1,VANSPOR A.Ş.                                      ,1,KAYSERİ ATATÜRK,MURAT ILGAZ,6.09.1997 - 16:00
1040,https://www.tff.org/Default.aspx?pageId=397&macId=36715,DARDANELSPOR A.Ş.                                 ,1,MKE ANKARAGÜCÜ                                    ,1,18 MART,ÖZCAN PEHLİVANOĞLU,6.09.1997 - 16:30
1041,https://www.tff.org/Default.aspx?pageId=397&macId=36716,ALTAY                                             ,0,ANTALYASPOR                                       ,3,İZMİR ALSANCAK,HASAN BAŞDEMİR,6.09.1997 - 16:30
1044,https://www.tff.org/Default.aspx?pageId=397&macId=36718,KOCAELİSPOR                                       ,3,İSTANBULSPOR A.Ş                                  ,0, İSMETPAŞA,İLHAMİ KAPLAN,6.09.1997 - 19:00
1038,https://www.tff.org/Default.aspx?pageId=397&macId=36719,GENÇLERBİRLİĞİ                                    ,0,GAZİANTEPSPOR                                     ,1,ANKARA 19 MAYIS,ALİ AYDIN,7.09.1997 - 19:00
1047,https://www.tff.org/Default.aspx?pageId=397&macId=36825,GAZİANTEPSPOR                                     ,2,DARDANELSPOR A.Ş.                                 ,2,KAMİL OCAK,NAMIK KEMAL DEMİROĞLU,12.09.1997 - 20:00
1054,https://www.tff.org/Default.aspx?pageId=397&macId=36829,KAYSERİSPOR                                       ,0,FENERBAHÇE                                        ,3,KAYSERİ ATATÜRK,ÜNSAL ÇİMEN,13.09.1997 - 16:00
1048,https://www.tff.org/Default.aspx?pageId=397&macId=36826,İSTANBULSPOR A.Ş                                  ,6,VANSPOR A.Ş.                                      ,3,ALİ SAMİ YEN,ADNAN ŞEKER,13.09.1997 - 19:00
1050,https://www.tff.org/Default.aspx?pageId=397&macId=36827,ALTAY                                             ,1,BEŞİKTAŞ                                          ,2,İZMİR ATATÜRK,SADIK İLHAN,13.09.1997 - 19:00
1051,https://www.tff.org/Default.aspx?pageId=397&macId=36828,TRABZONSPOR                                       ,6,ŞEKERSPOR                                         ,3,HÜSEYİN AVNİ AKER,SERDAR ÇAKIR,13.09.1997 - 19:00
1052,https://www.tff.org/Default.aspx?pageId=397&macId=36832,MKE ANKARAGÜCÜ                                    ,1,BURSASPOR                                         ,2,ANKARA 19 MAYIS,AHMET ÇAKAR,14.09.1997 - 16:00
1053,https://www.tff.org/Default.aspx?pageId=397&macId=36833,KARDEMİR D.Ç. KARABÜKSPOR                         ,1,KOCAELİSPOR                                       ,0,KARABÜK YENİŞEHİR,ALİCAN LAKOT,14.09.1997 - 16:00
1046,https://www.tff.org/Default.aspx?pageId=397&macId=36830,SAMSUNSPOR                                        ,3,GENÇLERBİRLİĞİ                                    ,1,SAMSUN 19 MAYIS,EROL ERSOY,14.09.1997 - 19:00
1049,https://www.tff.org/Default.aspx?pageId=397&macId=36831,GALATASARAY                                       ,2,ANTALYASPOR                                       ,1,ALİ SAMİ YEN,METİN TOKAT,14.09.1997 - 19:00
