Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1001,https://www.tff.org/Default.aspx?pageId=29&macId=194514,MKE ANKARAGÜCÜ,1,GALATASARAY A.Ş.,3,OSMANLI STADI - ANKARA,ÜMİT ÖZTÜRK,10.08.2018 - 21:57
1004,https://www.tff.org/Default.aspx?pageId=29&macId=194517,DEMİR GRUP SİVASSPOR,1,AYTEMİZ ALANYASPOR,0,YENİ 4 EYLÜL STADI - SİVAS,ARDA KARDEŞLER,11.08.2018 - 19:30
1003,https://www.tff.org/Default.aspx?pageId=29&macId=194516,ÇAYKUR RİZESPOR A.Ş.,2,KASIMPAŞA A.Ş.,3,ÇAYKUR DİDİ - RİZE,CÜNEYT ÇAKIR,11.08.2018 - 19:38
1008,https://www.tff.org/Default.aspx?pageId=29&macId=194521,FENERBAHÇE A.Ş.,2,BURSASPOR,1,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,HALİL UMUT MELER,11.08.2018 - 21:45
1002,https://www.tff.org/Default.aspx?pageId=29&macId=194515,MEDİPOL BAŞAKŞEHİR FK,2,TRABZONSPOR A.Ş.,0,3.İSTANBUL BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞ,FIRAT AYDINUS,12.08.2018 - 19:30
1006,https://www.tff.org/Default.aspx?pageId=29&macId=194519,ATİKER KONYASPOR,3,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2,KONYA BÜYÜKŞEHİR BELEDİYE STADYUMU - KONYA,SUAT ARSLANBOĞA,12.08.2018 - 19:30
1005,https://www.tff.org/Default.aspx?pageId=29&macId=194518,BEŞİKTAŞ A.Ş.,2,AKHİSARSPOR,1,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,BÜLENT YILDIRIM,12.08.2018 - 21:45
1009,https://www.tff.org/Default.aspx?pageId=29&macId=194522,GÖZTEPE A.Ş.,1,YENİ MALATYASPOR,3,BORNOVA STADI - İZMİR - BORNOVA,ÖZGÜR YANKAYA,12.08.2018 - 21:45
1007,https://www.tff.org/Default.aspx?pageId=29&macId=194520,KAYSERİSPOR,2,ANTALYASPOR A.Ş.,0,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,HÜSEYİN GÖÇEK,13.08.2018 - 21:45
1010,https://www.tff.org/Default.aspx?pageId=29&macId=194523,TRABZONSPOR A.Ş.,3,DEMİR GRUP SİVASSPOR,1,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,YAŞAR KEMAL UĞURLU,17.08.2018 - 21:45
1011,https://www.tff.org/Default.aspx?pageId=29&macId=194524,BURSASPOR,0,KAYSERİSPOR,0,BURSA BÜYÜKŞEHİR BELEDİYE STADYUMU - BURSA,METE KALKAVAN,18.08.2018 - 19:15
1012,https://www.tff.org/Default.aspx?pageId=29&macId=194525,ANTALYASPOR A.Ş.,3,ATİKER KONYASPOR,3,ANTALYA STADYUMU - ANTALYA,ALPER ULUSOY,18.08.2018 - 21:45
1018,https://www.tff.org/Default.aspx?pageId=29&macId=194531,EVKUR YENİ MALATYASPOR,1,FENERBAHÇE A.Ş.,0,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,FIRAT AYDINUS,18.08.2018 - 21:45
1013,https://www.tff.org/Default.aspx?pageId=29&macId=194526,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,1,BEŞİKTAŞ A.Ş.,3,ERZURUM KAZIM KARABEKİR - ERZURUM,ÜMİT ÖZTÜRK,19.08.2018 - 19:15
1017,https://www.tff.org/Default.aspx?pageId=29&macId=194530,AKHİSARSPOR,1,ÇAYKUR RİZESPOR A.Ş.,1,SPOR TOTO AKHİSAR STADYUMU - MANİSA - AKHİSAR,SERKAN ÇINAR,19.08.2018 - 19:15
1015,https://www.tff.org/Default.aspx?pageId=29&macId=194528,AYTEMİZ ALANYASPOR,0,MKE ANKARAGÜCÜ,2,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,ALİ ŞANSALAN,19.08.2018 - 21:45
1016,https://www.tff.org/Default.aspx?pageId=29&macId=194529,GALATASARAY A.Ş.,1,GÖZTEPE A.Ş.,0,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU ,ALİ PALABIYIK,19.08.2018 - 21:45
1014,https://www.tff.org/Default.aspx?pageId=29&macId=194527,KASIMPAŞA A.Ş.,2,MEDİPOL BAŞAKŞEHİR FK,1,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,HALİS ÖZKAHYA,20.08.2018 - 21:45
1024,https://www.tff.org/Default.aspx?pageId=29&macId=194537,ÇAYKUR RİZESPOR A.Ş.,0,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,ÇAYKUR DİDİ - RİZE,YAŞAR KEMAL UĞURLU,24.08.2018 - 19:15
1022,https://www.tff.org/Default.aspx?pageId=29&macId=194535,MKE ANKARAGÜCÜ,2,TRABZONSPOR A.Ş.,2,OSMANLI STADI - ANKARA,METE KALKAVAN,25.08.2018 - 19:15
1019,https://www.tff.org/Default.aspx?pageId=29&macId=194532,GÖZTEPE A.Ş.,1,FENERBAHÇE A.Ş.,0,BORNOVA STADI - İZMİR - BORNOVA,CÜNEYT ÇAKIR,25.08.2018 - 21:45
1025,https://www.tff.org/Default.aspx?pageId=29&macId=194538,KAYSERİSPOR,0,EVKUR YENİ MALATYASPOR,0,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,ALPER ULUSOY,25.08.2018 - 21:45
1020,https://www.tff.org/Default.aspx?pageId=29&macId=194533,DEMİR GRUP SİVASSPOR,0,KASIMPAŞA A.Ş.,3,YENİ 4 EYLÜL STADI - SİVAS,HÜSEYİN GÖÇEK,26.08.2018 - 19:15
1021,https://www.tff.org/Default.aspx?pageId=29&macId=194534,BEŞİKTAŞ A.Ş.,2,ANTALYASPOR A.Ş.,3,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,HALİS ÖZKAHYA,26.08.2018 - 21:45
1027,https://www.tff.org/Default.aspx?pageId=29&macId=194540,ATİKER KONYASPOR,1,BURSASPOR,1,KONYA BÜYÜKŞEHİR BELEDİYE STADYUMU - KONYA,MUSTAFA ÖĞRETMENOĞLU,26.08.2018 - 21:45
1023,https://www.tff.org/Default.aspx?pageId=29&macId=194536,MEDİPOL BAŞAKŞEHİR FK,3,AKHİSARSPOR,1,3.İSTANBUL BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞ,ALİ PALABIYIK,27.08.2018 - 19:15
1026,https://www.tff.org/Default.aspx?pageId=29&macId=194539,GALATASARAY A.Ş.,6,AYTEMİZ ALANYASPOR,0,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU ,HALİL UMUT MELER,27.08.2018 - 21:45
1036,https://www.tff.org/Default.aspx?pageId=29&macId=194549,EVKUR YENİ MALATYASPOR,0,ATİKER KONYASPOR,1,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,HÜSEYİN GÖÇEK,31.08.2018 - 21:45
1030,https://www.tff.org/Default.aspx?pageId=29&macId=194543,FENERBAHÇE A.Ş.,2,KAYSERİSPOR,3,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,ÜMİT ÖZTÜRK,1.09.2018 - 19:15
1032,https://www.tff.org/Default.aspx?pageId=29&macId=194545,AKHİSARSPOR,1,DEMİR GRUP SİVASSPOR,1,SPOR TOTO AKHİSAR STADYUMU - MANİSA - AKHİSAR,BAHATTİN ŞİMŞEK,1.09.2018 - 19:15
1033,https://www.tff.org/Default.aspx?pageId=29&macId=194546,TRABZONSPOR A.Ş.,4,GALATASARAY A.Ş.,0,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,FIRAT AYDINUS,1.09.2018 - 21:45
1034,https://www.tff.org/Default.aspx?pageId=29&macId=194547,AYTEMİZ ALANYASPOR,1,GÖZTEPE A.Ş.,0,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,YAŞAR KEMAL UĞURLU,1.09.2018 - 21:45
1028,https://www.tff.org/Default.aspx?pageId=29&macId=194541,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,MEDİPOL BAŞAKŞEHİR FK,1,ERZURUM KAZIM KARABEKİR - ERZURUM,BÜLENT YILDIRIM,2.09.2018 - 19:15
1029,https://www.tff.org/Default.aspx?pageId=29&macId=194542,KASIMPAŞA A.Ş.,2,MKE ANKARAGÜCÜ,1,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,ARDA KARDEŞLER,2.09.2018 - 19:15
1031,https://www.tff.org/Default.aspx?pageId=29&macId=194544,ANTALYASPOR A.Ş.,2,ÇAYKUR RİZESPOR A.Ş.,1,ANTALYA STADYUMU - ANTALYA,ALİ PALABIYIK,2.09.2018 - 21:45
1035,https://www.tff.org/Default.aspx?pageId=29&macId=194548,BURSASPOR,1,BEŞİKTAŞ A.Ş.,1,BURSA BÜYÜKŞEHİR BELEDİYE STADYUMU - BURSA,CÜNEYT ÇAKIR,2.09.2018 - 21:45
1039,https://www.tff.org/Default.aspx?pageId=29&macId=194552,GALATASARAY A.Ş.,4,KASIMPAŞA A.Ş.,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU ,BÜLENT YILDIRIM,14.09.2018 - 21:00
1037,https://www.tff.org/Default.aspx?pageId=29&macId=194550,MKE ANKARAGÜCÜ,1,AKHİSARSPOR,0,ZAFER STADI - AFYON,VOLKAN BAYARSLAN,15.09.2018 - 17:00
1040,https://www.tff.org/Default.aspx?pageId=29&macId=194553,GÖZTEPE A.Ş.,2,KAYSERİSPOR,0,BORNOVA STADI - İZMİR - BORNOVA,ARDA KARDEŞLER,15.09.2018 - 20:00
1044,https://www.tff.org/Default.aspx?pageId=29&macId=194557,BEŞİKTAŞ A.Ş.,2,EVKUR YENİ MALATYASPOR,1,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,HALİL UMUT MELER,15.09.2018 - 20:00
1041,https://www.tff.org/Default.aspx?pageId=29&macId=194554,DEMİR GRUP SİVASSPOR,2,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2,YENİ 4 EYLÜL STADI - SİVAS,METE KALKAVAN,16.09.2018 - 17:00
1042,https://www.tff.org/Default.aspx?pageId=29&macId=194555,MEDİPOL BAŞAKŞEHİR FK,4,ANTALYASPOR A.Ş.,0,3.İSTANBUL BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞ,ALPER ULUSOY,16.09.2018 - 17:00
1043,https://www.tff.org/Default.aspx?pageId=29&macId=194556,ÇAYKUR RİZESPOR A.Ş.,1,BURSASPOR,1,ÇAYKUR DİDİ - RİZE,SUAT ARSLANBOĞA,16.09.2018 - 20:00
1045,https://www.tff.org/Default.aspx?pageId=29&macId=194558,ATİKER KONYASPOR,0,FENERBAHÇE A.Ş.,1,KONYA BÜYÜKŞEHİR BELEDİYE STADYUMU - KONYA,ALİ PALABIYIK,16.09.2018 - 20:00
1038,https://www.tff.org/Default.aspx?pageId=29&macId=194551,AYTEMİZ ALANYASPOR,1,TRABZONSPOR A.Ş.,0,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,HALİS ÖZKAHYA,17.09.2018 - 20:00
1050,https://www.tff.org/Default.aspx?pageId=29&macId=194563,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,0,MKE ANKARAGÜCÜ,1,ERZURUM KAZIM KARABEKİR - ERZURUM,SERKAN ÇINAR,21.09.2018 - 20:00
