Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1004,https://www.tff.org/Default.aspx?pageId=397&macId=44338,İSTANBULSPOR A.Ş                                  ,1,ESKİŞEHİRSPOR                                     ,3,BEŞİKTAŞ İNÖNÜ,NEDİM GÖKLÜ,11.08.1995 - 19:00
1006,https://www.tff.org/Default.aspx?pageId=397&macId=44340,GENÇLERBİRLİĞİ                                    ,1,KOCAELİSPOR                                       ,1,ANKARA 19 MAYIS,MUHİTTİN BOŞAT,12.08.1995 - 19:00
1001,https://www.tff.org/Default.aspx?pageId=397&macId=44336,FENERBAHÇE                                        ,4,KARŞIYAKA                                         ,0,FB ŞÜKRÜ SARACOĞLU,MUSTAFA ÇULCU,12.08.1995 - 19:03
1009,https://www.tff.org/Default.aspx?pageId=397&macId=44332,VANSPOR                                           ,0,GALATASARAY                                       ,1,VALİ MAHMUT YILBAŞ,GALİP BİTİGEN,13.08.1995 - 16:02
1007,https://www.tff.org/Default.aspx?pageId=397&macId=44341,KAYSERİSPOR                                       ,1,BEŞİKTAŞ                                          ,1,KAYSERİ ATATÜRK,METİN TOKAT,13.08.1995 - 16:30
1005,https://www.tff.org/Default.aspx?pageId=397&macId=44339,ANTALYASPOR                                       ,4,BURSASPOR                                         ,2,ANTALYA ATATÜRK,ALİCAN LAKOT,13.08.1995 - 17:00
1008,https://www.tff.org/Default.aspx?pageId=397&macId=44342,ALTAY                                             ,1,DENİZLİSPOR                                       ,2,İZMİR ALSANCAK,MUSTAFA ARSLAN,13.08.1995 - 17:00
1002,https://www.tff.org/Default.aspx?pageId=397&macId=44335,TRABZONSPOR                                       ,3,MKE ANKARAGÜCÜ                                    ,1,HÜSEYİN AVNİ AKER,ÜNSAL ÇİMEN,13.08.1995 - 19:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=44337,SAMSUNSPOR                                        ,1,GAZİANTEPSPOR                                     ,0,SAMSUN 19 MAYIS,ENGİN KURT,13.08.1995 - 19:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=44371,MKE ANKARAGÜCÜ                                    ,3,İSTANBULSPOR A.Ş                                  ,1,ANKARA 19 MAYIS,EROL ERSOY,18.08.1995 - 19:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=44372,ESKİŞEHİRSPOR                                     ,1,FENERBAHÇE                                        ,2,ESKİŞEHİR ATATÜRK,OĞUZ SARVAN,19.08.1995 - 16:30
1018,https://www.tff.org/Default.aspx?pageId=397&macId=44373,GALATASARAY                                       ,3,ALTAY                                             ,1,ALİ SAMİ YEN,VAHAP BEYAZ,19.08.1995 - 19:00
1011,https://www.tff.org/Default.aspx?pageId=397&macId=44374,KAYSERİSPOR                                       ,0,DENİZLİSPOR                                       ,0,KAYSERİ ATATÜRK,İLHAMİ KAPLAN,20.08.1995 - 16:30
1014,https://www.tff.org/Default.aspx?pageId=397&macId=44377,GAZİANTEPSPOR                                     ,0,TRABZONSPOR                                       ,0,KAMİL OCAK,SABRİ ÇELİK,20.08.1995 - 16:30
1016,https://www.tff.org/Default.aspx?pageId=397&macId=44378,KARŞIYAKA                                         ,2,VANSPOR                                           ,1,İZMİR ALSANCAK,OSMAN AVCI,20.08.1995 - 17:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=44375,BEŞİKTAŞ                                          ,2,GENÇLERBİRLİĞİ                                    ,2,BEŞİKTAŞ İNÖNÜ,İBRAHİM AKSOY,20.08.1995 - 19:00
1013,https://www.tff.org/Default.aspx?pageId=397&macId=44376,KOCAELİSPOR                                       ,2,ANTALYASPOR                                       ,2, İSMETPAŞA,AHMET ÇAKAR,20.08.1995 - 19:00
