Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1000,https://www.tff.org/Default.aspx?pageId=29&macId=230000,İSTANBULSPOR A.Ş.,0,TRABZONSPOR A.Ş.,2,Atatürk Olimpiyat,Arda Kardeşler,05.08.2022 21:00
1001,https://www.tff.org/Default.aspx?pageId=29&macId=230001,DEMİR GRUP SİVASSPOR,1,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,1,Sivas 4 Eylül,Ali Şansalan,06.08.2022 19:15
1002,https://www.tff.org/Default.aspx?pageId=29&macId=230002,BEŞİKTAŞ A.Ş.,1,YUKATEL KAYSERİSPOR,0,Vodafone Park,Ümit Öztürk,06.08.2022 21:45
1003,https://www.tff.org/Default.aspx?pageId=29&macId=230003,VAVACARS FATİH KARAGÜMRÜK,2,ALANYASPOR,4,Atatürk Olimpiyat,Zorbay Küçük,07.08.2022 19:15
1004,https://www.tff.org/Default.aspx?pageId=29&macId=230004,BITEXEN GİRESUNSPOR,2,ADANA DEMİRSPOR A.Ş.,3,Çotanak Spor Kompleksi,Volkan Bayarslan,07.08.2022 19:15
1005,https://www.tff.org/Default.aspx?pageId=29&macId=230005,FRAPORT TAV ANTALYASPOR,0,GALATASARAY A.Ş.,1,Corendon Airlines Park,Atilla Karaoğlan,07.08.2022 21:45
1006,https://www.tff.org/Default.aspx?pageId=29&macId=230006,MEDİPOL BAŞAKŞEHİR FK,4,KASIMPAŞA A.Ş.,0,Başakşehir Fatih Terim,Ali Palabıyık,08.08.2022 19:15
1007,https://www.tff.org/Default.aspx?pageId=29&macId=230007,MKE ANKARAGÜCÜ,0,ARABAM.COM KONYASPOR,0,Eryaman Stadyumu,Bahattin Şimşek,08.08.2022 21:45
1008,https://www.tff.org/Default.aspx?pageId=29&macId=230008,FENERBAHÇE A.Ş.,3,HANGİKREDİ ÜMRANİYESPOR,3,Ülker Stadyumu,Yaşar Kemal Uğurlu,08.08.2022 21:45
1009,https://www.tff.org/Default.aspx?pageId=29&macId=230009,TRABZONSPOR A.Ş.,1,ATAKAŞ HATAYSPOR,0,Şenol Güneş Spor Kompleksi,Abdulkadir Bitigen,12.08.2022 21:00
1010,https://www.tff.org/Default.aspx?pageId=29&macId=230010,YUKATEL KAYSERİSPOR,1,İSTANBULSPOR A.Ş.,0,Kadir Has Şehir,Suat Arslanboğa,13.08.2022 19:15
