Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1006,https://www.tff.org/Default.aspx?pageId=29&macId=180340,MEDİPOL BAŞAKŞEHİR FK,1,BURSASPOR,0,3.İSTANBUL BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞ,ÜMİT ÖZTÜRK,11.08.2017 - 21:45
1002,https://www.tff.org/Default.aspx?pageId=29&macId=180336,AKHİSAR BELEDİYE GENÇLİK VE SPOR,1,DEMİR GRUP SİVASSPOR,0,MANİSA 19 MAYIS - MANİSA,BARIŞ ŞİMŞEK,12.08.2017 - 20:00
1007,https://www.tff.org/Default.aspx?pageId=29&macId=180341,GENÇLERBİRLİĞİ,1,KARDEMİR KARABÜKSPOR,1,ANKARA 19 MAYIS - ANKARA,KORAY GENÇERLER,12.08.2017 - 20:00
1005,https://www.tff.org/Default.aspx?pageId=29&macId=180339,ALANYASPOR,1,KASIMPAŞA A.Ş.,3,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA,SUAT ARSLANBOĞA,12.08.2017 - 21:45
1009,https://www.tff.org/Default.aspx?pageId=29&macId=180343,GÖZTEPE A.Ş.,2,FENERBAHÇE A.Ş.,2,BORNOVA STADI - İZMİR,YAŞAR KEMAL UĞURLU,12.08.2017 - 21:45
1004,https://www.tff.org/Default.aspx?pageId=29&macId=180338,EVKUR YENİ MALATYASPOR,3,OSMANLISPOR FUTBOL KULÜBÜ,1,MALATYA İNÖNÜ - MALATYA,METE KALKAVAN,13.08.2017 - 20:00
1008,https://www.tff.org/Default.aspx?pageId=29&macId=180342,TRABZONSPOR A.Ş.,2,ATİKER KONYASPOR,1,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON,HÜSEYİN GÖÇEK,13.08.2017 - 20:00
1003,https://www.tff.org/Default.aspx?pageId=29&macId=180337,BEŞİKTAŞ A.Ş.,2,ANTALYASPOR A.Ş.,0,VODAFONE PARK - İSTANBUL,CÜNEYT ÇAKIR,13.08.2017 - 21:45
1001,https://www.tff.org/Default.aspx?pageId=29&macId=180335,GALATASARAY A.Ş.,4,KAYSERİSPOR,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU ,HALİS ÖZKAHYA,14.08.2017 - 21:45
1017,https://www.tff.org/Default.aspx?pageId=29&macId=180351,KASIMPAŞA A.Ş.,2,BEŞİKTAŞ A.Ş.,2,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,ALPER ULUSOY,18.08.2017 - 21:45
1012,https://www.tff.org/Default.aspx?pageId=29&macId=180346,KARDEMİR KARABÜKSPOR,3,MEDİPOL BAŞAKŞEHİR FK,1,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,FIRAT AYDINUS,19.08.2017 - 19:00
1013,https://www.tff.org/Default.aspx?pageId=29&macId=180347,BURSASPOR,3,ALANYASPOR,2,BURSA BÜYÜKŞEHİR BELEDİYE STADYUMU - BURSA,SERKAN TOKAT,19.08.2017 - 19:45
