Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1004,https://www.tff.org/Default.aspx?pageId=29&macId=218975,ÇAYKUR RİZESPOR A.Ş.,1,FENERBAHÇE A.Ş.,2,ÇAYKUR DİDİ - RİZE,ARDA KARDEŞLER,11.09.2020 - 20:00
1002,https://www.tff.org/Default.aspx?pageId=29&macId=218973,DEMİR GRUP SİVASSPOR,0,ALANYASPOR,2,YENİ 4 EYLÜL STADI - SİVAS,ALİ PALABIYIK,12.09.2020 - 17:00
1007,https://www.tff.org/Default.aspx?pageId=29&macId=218978,FATİH KARAGÜMRÜK A.Ş.,3,YENİ MALATYASPOR,0,ATATÜRK OLİMPİYAT - İSTANBUL,ABDULKADİR BİTİGEN,12.09.2020 - 17:00
1006,https://www.tff.org/Default.aspx?pageId=29&macId=218977,GALATASARAY A.Ş.,3,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU ,BAHATTİN ŞİMŞEK,12.09.2020 - 20:00
1008,https://www.tff.org/Default.aspx?pageId=29&macId=218979,GÖZTEPE A.Ş.,5,YUKATEL DENİZLİSPOR,1,GÜRSEL AKSEL STADYUMU - İZMİR,TUGAY KAAN NUMANOĞLU,12.09.2020 - 20:00
1001,https://www.tff.org/Default.aspx?pageId=29&macId=218972,MKE ANKARAGÜCÜ,1,BÜYÜKŞEHİR BELEDİYE ERZURUMSPOR,2,ERYAMAN STADYUMU - ANKARA - ETİMESGUT,BURAK ŞEKER,13.09.2020 - 17:00
1003,https://www.tff.org/Default.aspx?pageId=29&macId=218974,HES KABLO KAYSERİSPOR,1,KASIMPAŞA A.Ş.,0,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,YAŞAR KEMAL UĞURLU,13.09.2020 - 17:00
1009,https://www.tff.org/Default.aspx?pageId=29&macId=218980,TRABZONSPOR A.Ş.,1,BEŞİKTAŞ A.Ş.,3,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,ALİ ŞANSALAN,13.09.2020 - 20:00
1010,https://www.tff.org/Default.aspx?pageId=29&macId=218981,FRAPORT-TAV ANTALYASPOR,2,GENÇLERBİRLİĞİ,0,ANTALYA STADYUMU - ANTALYA,YASİN KOL,13.09.2020 - 20:00
1005,https://www.tff.org/Default.aspx?pageId=29&macId=218976,ATAKAŞ HATAYSPOR,2,MEDİPOL BAŞAKŞEHİR FK,0,KALYON STADYUMU - GAZİANTEP,METE KALKAVAN,14.09.2020 - 20:00
