Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1008,https://www.tff.org/Default.aspx?pageId=397&macId=7989,ÇAYKUR RİZESPOR                                   ,2,FENERBAHÇE                                        ,2,RİZE ATATÜRK,KUDDUSİ MÜFTÜOĞLU,6.08.2004 - 20:00
1004,https://www.tff.org/Default.aspx?pageId=397&macId=7992,GENÇLERBİRLİĞİ                                    ,1,SAKARYASPOR A.Ş.                                  ,0,ANKARA 19 MAYIS,CEM DEDA,7.08.2004 - 18:00
1001,https://www.tff.org/Default.aspx?pageId=397&macId=7990,DENİZLİSPOR                                       ,2,GAZİANTEPSPOR                                     ,1,DENİZLİ ATATÜRK,CÜNEYT ÇAKIR,7.08.2004 - 19:00
1005,https://www.tff.org/Default.aspx?pageId=397&macId=7993,KAYSERİSPOR                                       ,0,TRABZONSPOR                                       ,3,KAYSERİ ATATÜRK,EROL ERSOY,7.08.2004 - 19:00
1002,https://www.tff.org/Default.aspx?pageId=397&macId=7991,MALATYASPOR                                       ,1,BEŞİKTAŞ A.Ş.                                     ,1,MALATYA İNÖNÜ,MUSTAFA ÇULCU,7.08.2004 - 20:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=7994,A.SEBATSPOR                                       ,1,B.B. ANKARASPOR                                   ,3,CEMAL GÜRSEL,METİN AYDOĞAN,8.08.2004 - 17:00
1006,https://www.tff.org/Default.aspx?pageId=397&macId=7995,İSTANBULSPOR A.Ş.                                 ,1,DİYARBAKIRSPOR                                    ,1,MİMAR YAHYA BAŞ,VEDAT YÜKSEL,8.08.2004 - 17:00
1007,https://www.tff.org/Default.aspx?pageId=397&macId=7996,SAMSUNSPOR                                        ,1,MKE ANKARAGÜCÜ                                    ,1,SAMSUN 19 MAYIS,FIRAT AYDINUS,8.08.2004 - 19:00
1009,https://www.tff.org/Default.aspx?pageId=397&macId=7997,GALATASARAY                                       ,3,KONYASPOR                                         ,1,ALİ SAMİ YEN,CEM PAPİLA,8.08.2004 - 19:00
1016,https://www.tff.org/Default.aspx?pageId=397&macId=8007,GAZİANTEPSPOR                                     ,1,GALATASARAY                                       ,0,KAMİL OCAK,İSMET ARZUMAN,13.08.2004 - 20:00
1014,https://www.tff.org/Default.aspx?pageId=397&macId=8011,B.B. ANKARASPOR                                   ,1,MALATYASPOR                                       ,3,ANKARA AKTEPE,HAMZA MISIR,14.08.2004 - 17:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=8009,MKE ANKARAGÜCÜ                                    ,0,İSTANBULSPOR A.Ş.                                 ,0,ANKARA 19 MAYIS,TOLGA ÖZKALFA,14.08.2004 - 19:00
1013,https://www.tff.org/Default.aspx?pageId=397&macId=8010,DİYARBAKIRSPOR                                    ,2,KAYSERİSPOR                                       ,1,DİYARBAKIR ATATÜRK,ORHAN ERDEMİR,14.08.2004 - 19:00
1011,https://www.tff.org/Default.aspx?pageId=397&macId=8008,FENERBAHÇE                                        ,2,SAMSUNSPOR                                        ,1,FB ŞÜKRÜ SARACOĞLU,SELÇUK DERELİ,14.08.2004 - 20:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=8013,SAKARYASPOR A.Ş.                                  ,1,DENİZLİSPOR                                       ,2,SAKARYA ATATÜRK,ÖZGÜÇ TÜRKALP,15.08.2004 - 18:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=8012,GENÇLERBİRLİĞİ                                    ,1,BEŞİKTAŞ A.Ş.                                     ,1,ANKARA 19 MAYIS,BÜLENT DEMİRLEK,15.08.2004 - 19:00
1017,https://www.tff.org/Default.aspx?pageId=397&macId=8014,TRABZONSPOR                                       ,3,A.SEBATSPOR                                       ,1,HÜSEYİN AVNİ AKER,SERDAR TATLI,15.08.2004 - 19:00
1018,https://www.tff.org/Default.aspx?pageId=397&macId=8015,KONYASPOR                                         ,0,ÇAYKUR RİZESPOR                                   ,0,KONYA ATATÜRK,HAKAN SİVRİSERVİ,15.08.2004 - 19:00
1027,https://www.tff.org/Default.aspx?pageId=397&macId=8029,İSTANBULSPOR A.Ş.                                 ,0,FENERBAHÇE                                        ,3,MİMAR YAHYA BAŞ,FIRAT AYDINUS,21.08.2004 - 17:00
1020,https://www.tff.org/Default.aspx?pageId=397&macId=8025,GENÇLERBİRLİĞİ                                    ,1,B.B. ANKARASPOR                                   ,1,ANKARA 19 MAYIS,BÜLENT YILDIRIM,21.08.2004 - 19:00
1023,https://www.tff.org/Default.aspx?pageId=397&macId=8027,MALATYASPOR                                       ,3,TRABZONSPOR                                       ,4,MALATYA İNÖNÜ,CEM PAPİLA,21.08.2004 - 19:00
1025,https://www.tff.org/Default.aspx?pageId=397&macId=8028,SAMSUNSPOR                                        ,1,KONYASPOR                                         ,1,SAMSUN 19 MAYIS,EROL ERSOY,21.08.2004 - 19:00
1022,https://www.tff.org/Default.aspx?pageId=397&macId=8026,DENİZLİSPOR                                       ,3,BEŞİKTAŞ A.Ş.                                     ,1,DENİZLİ ATATÜRK,OKTAY DEMİRAY,21.08.2004 - 20:00
1024,https://www.tff.org/Default.aspx?pageId=397&macId=8032,A.SEBATSPOR                                       ,2,DİYARBAKIRSPOR                                    ,2,AKÇAABAT FATİH ,SÜLEYMAN ABAY,22.08.2004 - 17:00
1019,https://www.tff.org/Default.aspx?pageId=397&macId=8030,GALATASARAY                                       ,2,ÇAYKUR RİZESPOR                                   ,1,ALİ SAMİ YEN,METİN AYDOĞAN,22.08.2004 - 19:00
1021,https://www.tff.org/Default.aspx?pageId=397&macId=8031,KAYSERİSPOR                                       ,1,MKE ANKARAGÜCÜ                                    ,1,KAYSERİ ATATÜRK,HÜSEYİN GÖÇEK,22.08.2004 - 19:00
1026,https://www.tff.org/Default.aspx?pageId=397&macId=8033,GAZİANTEPSPOR                                     ,1,SAKARYASPOR A.Ş.                                  ,0,KAMİL OCAK,YUNUS YILDIRIM,22.08.2004 - 19:00
1035,https://www.tff.org/Default.aspx?pageId=397&macId=8046,KAYSERİSPOR                                       ,0,FENERBAHÇE                                        ,2,KAYSERİ ATATÜRK,SERDAR TATLI,28.08.2004 - 18:00
1029,https://www.tff.org/Default.aspx?pageId=397&macId=8043,B.B. ANKARASPOR                                   ,3,DENİZLİSPOR                                       ,2,ANKARA 19 MAYIS,FIRAT AYDINUS,28.08.2004 - 19:00
1030,https://www.tff.org/Default.aspx?pageId=397&macId=8044,ÇAYKUR RİZESPOR                                   ,2,SAMSUNSPOR                                        ,0,RİZE ATATÜRK,OKTAY DEMİRAY,28.08.2004 - 19:00
1036,https://www.tff.org/Default.aspx?pageId=397&macId=8047,KONYASPOR                                         ,2,İSTANBULSPOR A.Ş.                                 ,1,KONYA ATATÜRK,ZAFER ÖNDER İPEK,28.08.2004 - 19:00
1034,https://www.tff.org/Default.aspx?pageId=397&macId=8045,SAKARYASPOR A.Ş.                                  ,1,GALATASARAY                                       ,2,SAKARYA ATATÜRK,MUSTAFA ÇULCU,28.08.2004 - 20:30
1032,https://www.tff.org/Default.aspx?pageId=397&macId=8050,TRABZONSPOR                                       ,3,GENÇLERBİRLİĞİ                                    ,1,HÜSEYİN AVNİ AKER,İSMET ARZUMAN,29.08.2004 - 18:00
1028,https://www.tff.org/Default.aspx?pageId=397&macId=8048,DİYARBAKIRSPOR                                    ,1,MALATYASPOR                                       ,2,KAMİL OCAK,CÜNEYT ÇAKIR,29.08.2004 - 19:00
1031,https://www.tff.org/Default.aspx?pageId=397&macId=8049,MKE ANKARAGÜCÜ                                    ,2,A.SEBATSPOR                                       ,1,ANKARA 19 MAYIS,AYTEKİN DURMAZ,29.08.2004 - 19:00
1033,https://www.tff.org/Default.aspx?pageId=397&macId=8051,BEŞİKTAŞ A.Ş.                                     ,3,GAZİANTEPSPOR                                     ,4, İSMETPAŞA,YILNUR ÖNEN,29.08.2004 - 20:00
1043,https://www.tff.org/Default.aspx?pageId=397&macId=8136,A.SEBATSPOR                                       ,1,FENERBAHÇE                                        ,4,AKÇAABAT FATİH ,CEM DEDA,11.09.2004 - 16:00
1037,https://www.tff.org/Default.aspx?pageId=397&macId=8133,DENİZLİSPOR                                       ,0,TRABZONSPOR                                       ,2,DENİZLİ ATATÜRK,ORHAN ERDEMİR,11.09.2004 - 19:00
1039,https://www.tff.org/Default.aspx?pageId=397&macId=8134,GAZİANTEPSPOR                                     ,2,B.B. ANKARASPOR                                   ,1,KAMİL OCAK,VEDAT YÜKSEL,11.09.2004 - 19:00
1041,https://www.tff.org/Default.aspx?pageId=397&macId=8135,GENÇLERBİRLİĞİ                                    ,2,DİYARBAKIRSPOR                                    ,0,ANKARA 19 MAYIS,TOLGA ÖZKALFA,11.09.2004 - 19:00
1045,https://www.tff.org/Default.aspx?pageId=397&macId=8141,İSTANBULSPOR A.Ş.                                 ,0,ÇAYKUR RİZESPOR                                   ,3,MİMAR YAHYA BAŞ,ÖZGÜÇ TÜRKALP,12.09.2004 - 16:00
1038,https://www.tff.org/Default.aspx?pageId=397&macId=8137,SAKARYASPOR A.Ş.                                  ,1,BEŞİKTAŞ A.Ş.                                     ,4,SAKARYA ATATÜRK,SELÇUK DERELİ,12.09.2004 - 17:30
1042,https://www.tff.org/Default.aspx?pageId=397&macId=8139,MALATYASPOR                                       ,1,MKE ANKARAGÜCÜ                                    ,0,MALATYA İNÖNÜ,SÜLEYMAN ABAY,12.09.2004 - 19:00
1044,https://www.tff.org/Default.aspx?pageId=397&macId=8140,KAYSERİSPOR                                       ,2,KONYASPOR                                         ,2,KAYSERİ ATATÜRK,METİN AYDOĞAN,12.09.2004 - 19:00
1040,https://www.tff.org/Default.aspx?pageId=397&macId=8138,GALATASARAY                                       ,3,SAMSUNSPOR                                        ,1,ALİ SAMİ YEN,BÜLENT YILDIRIM,12.09.2004 - 20:00
1050,https://www.tff.org/Default.aspx?pageId=397&macId=8218,DİYARBAKIRSPOR                                    ,0,DENİZLİSPOR                                       ,1,DİYARBAKIR ATATÜRK,CEM PAPİLA,17.09.2004 - 20:00
1046,https://www.tff.org/Default.aspx?pageId=397&macId=8219,B.B. ANKARASPOR                                   ,1,SAKARYASPOR A.Ş.                                  ,1,ANKARA 19 MAYIS,ORHAN ERDEMİR,18.09.2004 - 19:00
1048,https://www.tff.org/Default.aspx?pageId=397&macId=8220,KONYASPOR                                         ,3,A.SEBATSPOR                                       ,3,KONYA ATATÜRK,CÜNEYT ÇAKIR,18.09.2004 - 19:00
1052,https://www.tff.org/Default.aspx?pageId=397&macId=8221,SAMSUNSPOR                                        ,2,İSTANBULSPOR A.Ş.                                 ,1,SAMSUN 19 MAYIS,YUNUS YILDIRIM,18.09.2004 - 19:00
1054,https://www.tff.org/Default.aspx?pageId=397&macId=8222,FENERBAHÇE                                        ,3,MALATYASPOR                                       ,1,FB ŞÜKRÜ SARACOĞLU,İSMET ARZUMAN,18.09.2004 - 19:00
1051,https://www.tff.org/Default.aspx?pageId=397&macId=8225,TRABZONSPOR                                       ,0,GAZİANTEPSPOR                                     ,0,HÜSEYİN AVNİ AKER,FIRAT AYDINUS,19.09.2004 - 16:30
1049,https://www.tff.org/Default.aspx?pageId=397&macId=8224,MKE ANKARAGÜCÜ                                    ,1,GENÇLERBİRLİĞİ                                    ,0,ANKARA 19 MAYIS,SERDAR TATLI,19.09.2004 - 19:00
1053,https://www.tff.org/Default.aspx?pageId=397&macId=8226,ÇAYKUR RİZESPOR                                   ,2,KAYSERİSPOR                                       ,1,RİZE ATATÜRK,TOLGA ÖZKALFA,19.09.2004 - 19:00
1047,https://www.tff.org/Default.aspx?pageId=397&macId=8223,BEŞİKTAŞ A.Ş.                                     ,0,GALATASARAY                                       ,0,BEŞİKTAŞ İNÖNÜ,MUSTAFA ÇULCU,19.09.2004 - 19:35
1058,https://www.tff.org/Default.aspx?pageId=397&macId=8305,GENÇLERBİRLİĞİ                                    ,1,FENERBAHÇE                                        ,2,ANKARA 19 MAYIS,CEM PAPİLA,24.09.2004 - 20:00
1056,https://www.tff.org/Default.aspx?pageId=397&macId=8306,A.SEBATSPOR                                       ,0,ÇAYKUR RİZESPOR                                   ,0,AKÇAABAT FATİH ,ORHAN ERDEMİR,25.09.2004 - 16:00
1057,https://www.tff.org/Default.aspx?pageId=397&macId=8307,BEŞİKTAŞ A.Ş.                                     ,2,B.B. ANKARASPOR                                   ,3,BEŞİKTAŞ İNÖNÜ,METİN AYDOĞAN,25.09.2004 - 19:00
1060,https://www.tff.org/Default.aspx?pageId=397&macId=8308,KAYSERİSPOR                                       ,1,SAMSUNSPOR                                        ,4,KAYSERİ ATATÜRK,ÖZGÜÇ TÜRKALP,25.09.2004 - 19:00
1061,https://www.tff.org/Default.aspx?pageId=397&macId=8309,SAKARYASPOR A.Ş.                                  ,1,TRABZONSPOR                                       ,3,SAKARYA ATATÜRK,CEM DEDA,25.09.2004 - 19:00
1062,https://www.tff.org/Default.aspx?pageId=397&macId=8311,GAZİANTEPSPOR                                     ,1,DİYARBAKIRSPOR                                    ,1,KAMİL OCAK,BÜLENT YILDIRIM,26.09.2004 - 16:30
1055,https://www.tff.org/Default.aspx?pageId=397&macId=8310,DENİZLİSPOR                                       ,2,MKE ANKARAGÜCÜ                                    ,0,DENİZLİ ATATÜRK,BÜLENT DEMİRLEK,26.09.2004 - 19:00
1059,https://www.tff.org/Default.aspx?pageId=397&macId=8313,MALATYASPOR                                       ,5,KONYASPOR                                         ,0,MALATYA İNÖNÜ,HÜSEYİN GÖÇEK,26.09.2004 - 19:00
1063,https://www.tff.org/Default.aspx?pageId=397&macId=8312,GALATASARAY                                       ,4,İSTANBULSPOR A.Ş.                                 ,1,ALİ SAMİ YEN,CÜNEYT ÇAKIR,26.09.2004 - 19:00
1069,https://www.tff.org/Default.aspx?pageId=397&macId=8391,B.B. ANKARASPOR                                   ,0,GALATASARAY                                       ,2,ANKARA 19 MAYIS,CEM DEDA,1.10.2004 - 20:00
1066,https://www.tff.org/Default.aspx?pageId=397&macId=8393,ÇAYKUR RİZESPOR                                   ,0,MALATYASPOR                                       ,1,RİZE ATATÜRK,BÜLENT DEMİRLEK,2.10.2004 - 17:00
1065,https://www.tff.org/Default.aspx?pageId=397&macId=8392,DİYARBAKIRSPOR                                    ,1,SAKARYASPOR A.Ş.                                  ,0,DİYARBAKIR ATATÜRK,SERDAR TATLI,2.10.2004 - 19:00
1067,https://www.tff.org/Default.aspx?pageId=397&macId=8394,MKE ANKARAGÜCÜ                                    ,2,GAZİANTEPSPOR                                     ,1,ANKARA 19 MAYIS,CEM PAPİLA,2.10.2004 - 19:00
1072,https://www.tff.org/Default.aspx?pageId=397&macId=8395,FENERBAHÇE                                        ,2,DENİZLİSPOR                                       ,0,FB ŞÜKRÜ SARACOĞLU,MUSTAFA ÇULCU,2.10.2004 - 19:00
1070,https://www.tff.org/Default.aspx?pageId=397&macId=8398,İSTANBULSPOR A.Ş.                                 ,2,KAYSERİSPOR                                       ,0,MİMAR YAHYA BAŞ,HAKAN SİVRİSERVİ,3.10.2004 - 15:00
1064,https://www.tff.org/Default.aspx?pageId=397&macId=8396,KONYASPOR                                         ,3,GENÇLERBİRLİĞİ                                    ,2,KONYA ATATÜRK,ORHAN ERDEMİR,3.10.2004 - 19:00
