Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1003,https://www.tff.org/Default.aspx?pageId=29&macId=98851,ESKİŞEHİRSPOR,2,BEŞİKTAŞ A.Ş.,1,ESKİŞEHİR ATATÜRK - ESKİŞEHİR,BÜNYAMİN GEZER,10.09.2011 - 17:30
1006,https://www.tff.org/Default.aspx?pageId=29&macId=98854,SAMSUNSPOR,3,GENÇLERBİRLİĞİ,2,SAMSUN 19 MAYIS - SAMSUN,MUSTAFA KAMİL ABİTOĞLU,10.09.2011 - 17:30
1002,https://www.tff.org/Default.aspx?pageId=29&macId=98850,MKE ANKARAGÜCÜ,1,MERSİN İDMAN YURDU,2,ANKARA 19 MAYIS - ANKARA,KORAY GENÇERLER,10.09.2011 - 20:00
1008,https://www.tff.org/Default.aspx?pageId=29&macId=98856,MANİSASPOR,1,TRABZONSPOR A.Ş.,1,MANİSA 19 MAYIS - MANİSA,CÜNEYT ÇAKIR,10.09.2011 - 20:00
1004,https://www.tff.org/Default.aspx?pageId=29&macId=98852,BURSASPOR,3,KAYSERİSPOR,0,BURSA ATATÜRK - BURSA,FIRAT AYDINUS,11.09.2011 - 17:30
1005,https://www.tff.org/Default.aspx?pageId=29&macId=98853,KARDEMİR D.Ç. KARABÜKSPOR,2,SİVASSPOR,1,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,SERKAN ÇINAR,11.09.2011 - 17:30
1001,https://www.tff.org/Default.aspx?pageId=29&macId=98849,MEDİCAL PARK ANTALYASPOR,1,GAZİANTEPSPOR,0,MARDAN ANTALYASPOR STADI - ANTALYA,ABDULLAH YILMAZ,11.09.2011 - 20:00
1007,https://www.tff.org/Default.aspx?pageId=29&macId=98855,BÜYÜKŞEHİR BLD.SPOR,2,GALATASARAY A.Ş.,0,ATATÜRK OLİMPİYAT - İSTANBUL,ÖZGÜR YANKAYA,11.09.2011 - 20:00
1009,https://www.tff.org/Default.aspx?pageId=29&macId=98857,FENERBAHÇE A.Ş.,1,ORDUSPOR,0,FB ŞÜKRÜ SARACOĞLU - İSTANBUL,YUNUS YILDIRIM,12.09.2011 - 20:02
1015,https://www.tff.org/Default.aspx?pageId=29&macId=98863,KAYSERİSPOR,0,MEDİCAL PARK ANTALYASPOR,1,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,SÜLEYMAN ABAY,16.09.2011 - 20:00
1016,https://www.tff.org/Default.aspx?pageId=29&macId=98864,GAZİANTEPSPOR,1,FENERBAHÇE A.Ş.,3,KAMİL OCAK - GAZİANTEP,BÜLENT YILDIRIM,16.09.2011 - 20:00
1013,https://www.tff.org/Default.aspx?pageId=29&macId=98861,GENÇLERBİRLİĞİ,2,KARDEMİR D.Ç. KARABÜKSPOR,1,ANKARA 19 MAYIS - ANKARA,SUAT ARSLANBOĞA,17.09.2011 - 17:30
1018,https://www.tff.org/Default.aspx?pageId=29&macId=98866,ORDUSPOR,1,MANİSASPOR,0,19 EYLÜL - ORDU,AYTEKİN DURMAZ,17.09.2011 - 20:00
1011,https://www.tff.org/Default.aspx?pageId=29&macId=98859,TRABZONSPOR A.Ş.,0,İSTANBUL BŞ BLD. SPOR,1,HÜSEYİN AVNİ AKER - TRABZON,HALİS ÖZKAHYA,17.09.2011 - 20:03
1010,https://www.tff.org/Default.aspx?pageId=29&macId=98858,MERSİN İDMAN YURDU,1,BURSASPOR,3,TEVFİK SIRRI GÜR - MERSİN,HÜSEYİN GÖÇEK,18.09.2011 - 16:00
1017,https://www.tff.org/Default.aspx?pageId=29&macId=98865,SİVASSPOR,0,ESKİŞEHİRSPOR,4,SİVAS 4 EYLÜL - SİVAS,BARIŞ ŞİMŞEK,18.09.2011 - 17:30
1012,https://www.tff.org/Default.aspx?pageId=29&macId=98860,GALATASARAY A.Ş.,3,SAMSUNSPOR,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,KUDDUSİ MÜFTÜOĞLU,18.09.2011 - 20:00
1014,https://www.tff.org/Default.aspx?pageId=29&macId=98862,BEŞİKTAŞ A.Ş.,3,MKE ANKARAGÜCÜ,1,Fİ-YAPI İNÖNÜ - İSTANBUL,TOLGA ÖZKALFA,19.09.2011 - 20:02
1019,https://www.tff.org/Default.aspx?pageId=29&macId=98867,FENERBAHÇE A.Ş.,1,MANİSASPOR,1,FB ŞÜKRÜ SARACOĞLU - İSTANBUL,ÖZGÜR YANKAYA,20.09.2011 - 20:00
1025,https://www.tff.org/Default.aspx?pageId=29&macId=98873,İSTANBUL BŞ BLD. SPOR,1,ORDUSPOR,1,ATATÜRK OLİMPİYAT - İSTANBUL,KORAY GENÇERLER,20.09.2011 - 20:00
1026,https://www.tff.org/Default.aspx?pageId=29&macId=98874,GAZİANTEPSPOR,1,KAYSERİSPOR,2,KAMİL OCAK - GAZİANTEP,CÜNEYT ÇAKIR,20.09.2011 - 20:00
1021,https://www.tff.org/Default.aspx?pageId=29&macId=98869,KARDEMİR D.Ç. KARABÜKSPOR,1,GALATASARAY A.Ş.,1,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,BÜNYAMİN GEZER,21.09.2011 - 18:45
1022,https://www.tff.org/Default.aspx?pageId=29&macId=98870,MEDİCAL PARK ANTALYASPOR,1,MERSİN İDMAN YURDU,2,MARDAN ANTALYASPOR STADI - ANTALYA,MUSTAFA İLKER COŞKUN,21.09.2011 - 20:00
1024,https://www.tff.org/Default.aspx?pageId=29&macId=98872,ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,0,ESKİŞEHİR ATATÜRK - ESKİŞEHİR,ABDULLAH YILMAZ,21.09.2011 - 20:00
