Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat,2024_25_sezon_maclari.csv,Sonuc,Ev_sahibi_ID,Misafir_ID,Hakem_ID,Gol_Farki
1111.0,https://www.tff.org/Default.aspx?pageId=397&macId=66372,SİVASSPOR,1.0,KAYSERİSPOR,61.0,SİVAS 4 EYLÜL,VEDAT YÜKSEL,25.11.2007 - 15:30,,2,151,105,179,-60.0
1112.0,https://www.tff.org/Default.aspx?pageId=397&macId=66373,TRABZONSPOR A.Ş.,0.0,GALATASARAY A.Ş.,30.0,HÜSEYİN AVNİ AKER,SELÇUK DERELİ,25.11.2007 - 19:00,,2,157,76,154,-30.0
1118.0,https://www.tff.org/Default.aspx?pageId=397&macId=66379,GENÇLERBİRLİĞİ,2.0,TRABZONSPOR A.Ş.,4.0,ANKARA 19 MAYIS,VEDAT YÜKSEL,30.11.2007 - 20:00,,2,83,157,179,-2.0
1120.0,https://www.tff.org/Default.aspx?pageId=397&macId=66381,KONYASPOR,1.0,MKE ANKARAGÜCÜ,3.0,BŞ BLD ATATÜRK,MEHMET FATİH GÖKÇE,1.12.2007 - 14:00,,2,112,130,101,-2.0
1121.0,https://www.tff.org/Default.aspx?pageId=397&macId=66382,KASIMPAŞA,0.0,BURSASPOR,3.0,ATATÜRK OLİMPİYAT,KUDDUSİ MÜFTÜOĞLU,1.12.2007 - 14:00,,2,102,40,94,-3.0
1123.0,https://www.tff.org/Default.aspx?pageId=397&macId=66384,DENİZLİSPOR,0.0,FENERBAHÇE,3.0,DENİZLİ ATATÜRK,BÜLENT YILDIRIM,1.12.2007 - 19:00,,2,52,65,40,-3.0
1122.0,https://www.tff.org/Default.aspx?pageId=397&macId=66383,VESTEL MANİSASPOR,1.0,GAZİANTEPSPOR,4.0,MANİSA 19 MAYIS,HAKAN SİVRİSERVİ,2.12.2007 - 14:00,,2,163,79,70,-3.0
1124.0,https://www.tff.org/Default.aspx?pageId=397&macId=66385,ANKARASPOR A.Ş.,2.0,SİVASSPOR,3.0,YENİKENT ASAŞ,YUNUS YILDIRIM,2.12.2007 - 14:00,,2,14,151,187,-1.0
1125.0,https://www.tff.org/Default.aspx?pageId=397&macId=66386,KAYSERİSPOR,1.0,GENÇLERBİRLİĞİ OFTAŞSPOR,2.0,KAYSERİ ATATÜRK,ABDULLAH YILMAZ,2.12.2007 - 14:00,,2,105,86,3,-1.0
1119.0,https://www.tff.org/Default.aspx?pageId=397&macId=66380,GALATASARAY A.Ş.,2.0,BÜYÜKŞEHİR BLD.SPOR,33.0,ALİ SAMİ YEN,HÜSEYİN GÖÇEK,2.12.2007 - 15:30,,2,76,47,86,-31.0
1126.0,https://www.tff.org/Default.aspx?pageId=397&macId=66387,BEŞİKTAŞ A.Ş.,1.0,ÇAYKUR RİZESPOR,58.0,BEŞİKTAŞ İNÖNÜ,ZAFER ÖNDER İPEK,2.12.2007 - 19:00,,2,34,174,194,-57.0
1128.0,https://www.tff.org/Default.aspx?pageId=397&macId=66389,BURSASPOR,0.0,BEŞİKTAŞ A.Ş.,2.0,BURSA ATATÜRK,YUNUS YILDIRIM,7.12.2007 - 20:00,,2,40,34,187,-2.0
1131.0,https://www.tff.org/Default.aspx?pageId=397&macId=66392,MKE ANKARAGÜCÜ,2.0,KASIMPAŞA,2.0,ANKARA 19 MAYIS,SELÇUK DERELİ,8.12.2007 - 14:00,,0,130,102,154,0.0
1132.0,https://www.tff.org/Default.aspx?pageId=397&macId=66393,ÇAYKUR RİZESPOR,0.0,KAYSERİSPOR,2.0,RİZE ATATÜRK,İSMET ARZUMAN,8.12.2007 - 14:00,,2,174,105,218,-2.0
1134.0,https://www.tff.org/Default.aspx?pageId=397&macId=66395,FENERBAHÇE,2.0,GALATASARAY A.Ş.,2.0,FB ŞÜKRÜ SARACOĞLU,FIRAT AYDINUS,8.12.2007 - 19:00,,0,65,76,66,0.0
1127.0,https://www.tff.org/Default.aspx?pageId=397&macId=66388,BÜYÜKŞEHİR BLD.SPOR,0.0,GENÇLERBİRLİĞİ,5.0,ATATÜRK OLİMPİYAT,MUSTAFA KAMİL ABİTOĞLU,9.12.2007 - 14:00,,2,47,83,118,-5.0
1133.0,https://www.tff.org/Default.aspx?pageId=397&macId=66394,GENÇLERBİRLİĞİ OFTAŞSPOR,0.0,ANKARASPOR A.Ş.,4.0,ANKARA 19 MAYIS,BÜLENT DEMİRLEK,9.12.2007 - 14:00,,2,86,14,37,-4.0
1135.0,https://www.tff.org/Default.aspx?pageId=397&macId=66396,KONYASPOR,4.0,VESTEL MANİSASPOR,3.0,KONYA ATATÜRK,AYTEKİN DURMAZ,9.12.2007 - 14:00,,1,112,163,24,1.0
1129.0,https://www.tff.org/Default.aspx?pageId=397&macId=66390,SİVASSPOR,2.0,DENİZLİSPOR,61.0,SİVAS 4 EYLÜL,ÖZGÜÇ TÜRKALP,9.12.2007 - 15:30,,2,151,52,206,-59.0
1130.0,https://www.tff.org/Default.aspx?pageId=397&macId=66391,TRABZONSPOR A.Ş.,3.0,GAZİANTEPSPOR,15.0,HÜSEYİN AVNİ AKER,BÜNYAMİN GEZER,9.12.2007 - 19:00,,2,157,79,41,-12.0
1136.0,https://www.tff.org/Default.aspx?pageId=397&macId=66397,GALATASARAY A.Ş.,2.0,SİVASSPOR,8.0,ALİ SAMİ YEN,BÜLENT YILDIRIM,14.12.2007 - 20:00,,2,76,151,40,-6.0
1138.0,https://www.tff.org/Default.aspx?pageId=397&macId=66399,GAZİANTEPSPOR,2.0,KONYASPOR,3.0,KAMİL OCAK,MUSTAFA KAMİL ABİTOĞLU,15.12.2007 - 14:00,,2,79,112,118,-1.0
1143.0,https://www.tff.org/Default.aspx?pageId=397&macId=66404,ANKARASPOR A.Ş.,1.0,ÇAYKUR RİZESPOR,3.0,YENİKENT ASAŞ,HALİS ÖZKAHYA,15.12.2007 - 14:00,,2,14,174,75,-2.0
1140.0,https://www.tff.org/Default.aspx?pageId=397&macId=66401,TRABZONSPOR A.Ş.,2.0,BÜYÜKŞEHİR BLD.SPOR,30.0,HÜSEYİN AVNİ AKER,İSMET ARZUMAN,15.12.2007 - 19:00,,2,157,47,218,-28.0
1137.0,https://www.tff.org/Default.aspx?pageId=397&macId=66398,KAYSERİSPOR,4.0,BURSASPOR,5.0,BŞ BLD ATATÜRK,CÜNEYT ÇAKIR,16.12.2007 - 14:00,,2,105,40,48,-1.0
1139.0,https://www.tff.org/Default.aspx?pageId=397&macId=66400,KASIMPAŞA,2.0,VESTEL MANİSASPOR,33.0,ATATÜRK OLİMPİYAT,UĞUR SÖYLEMEZ,16.12.2007 - 14:00,,2,102,163,176,-31.0
1142.0,https://www.tff.org/Default.aspx?pageId=397&macId=66403,DENİZLİSPOR,2.0,GENÇLERBİRLİĞİ OFTAŞSPOR,4.0,DENİZLİ ATATÜRK,BARIŞ ŞİMŞEK,16.12.2007 - 14:00,,2,52,86,31,-2.0
1141.0,https://www.tff.org/Default.aspx?pageId=397&macId=66402,GENÇLERBİRLİĞİ,1.0,FENERBAHÇE,4.0,ANKARA 19 MAYIS,YUNUS YILDIRIM,16.12.2007 - 15:30,,2,83,65,187,-3.0
1144.0,https://www.tff.org/Default.aspx?pageId=397&macId=66405,BEŞİKTAŞ A.Ş.,3.0,MKE ANKARAGÜCÜ,58.0,BEŞİKTAŞ İNÖNÜ,BÜLENT DEMİRLEK,16.12.2007 - 19:00,,2,34,130,37,-55.0
1148.0,https://www.tff.org/Default.aspx?pageId=397&macId=66409,VESTEL MANİSASPOR,1.0,BEŞİKTAŞ A.Ş.,4.0,MANİSA 19 MAYIS,MUSTAFA KAMİL ABİTOĞLU,21.12.2007 - 20:00,,2,163,34,118,-3.0
1149.0,https://www.tff.org/Default.aspx?pageId=397&macId=66410,MKE ANKARAGÜCÜ,1.0,KAYSERİSPOR,3.0,ANKARA 19 MAYIS,BARIŞ ŞİMŞEK,22.12.2007 - 14:00,,2,130,105,31,-2.0
1153.0,https://www.tff.org/Default.aspx?pageId=397&macId=66414,KONYASPOR,2.0,KASIMPAŞA,3.0,KONYA ATATÜRK,CÜNEYT BAKIROĞLU,22.12.2007 - 14:00,,2,112,102,47,-1.0
1147.0,https://www.tff.org/Default.aspx?pageId=397&macId=66408,FENERBAHÇE,3.0,TRABZONSPOR A.Ş.,3.0,FB ŞÜKRÜ SARACOĞLU,BÜLENT YILDIRIM,22.12.2007 - 19:00,,0,65,157,40,0.0
1145.0,https://www.tff.org/Default.aspx?pageId=397&macId=66406,BÜYÜKŞEHİR BLD.SPOR,1.0,GAZİANTEPSPOR,6.0,ATATÜRK OLİMPİYAT,DENİZ ÇOBAN,23.12.2007 - 14:00,,2,47,79,51,-5.0
1146.0,https://www.tff.org/Default.aspx?pageId=397&macId=66407,ÇAYKUR RİZESPOR,2.0,DENİZLİSPOR,2.0,RİZE ATATÜRK,AYTEKİN DURMAZ,23.12.2007 - 14:00,,0,174,52,24,0.0
