Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1007,https://www.tff.org/Default.aspx?pageId=29&macId=118460,MEDİCAL PARK ANTALYASPOR,0,KAYSERİ ERCİYESSPOR,0,AKDENİZ ÜNİVERSİTESİ STADI - ANTALYA,CÜNEYT ÇAKIR,16.08.2013 - 21:45
1002,https://www.tff.org/Default.aspx?pageId=29&macId=118455,KARDEMİR D.Ç. KARABÜKSPOR,2,KASIMPAŞA A.Ş.,0,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,MUSTAFA İLKER COŞKUN,17.08.2013 - 20:00
1005,https://www.tff.org/Default.aspx?pageId=29&macId=118458,ÇAYKUR RİZESPOR A.Ş.,1,GENÇLERBİRLİĞİ,0,YENİ RİZE ŞEHİR - RİZE,ÖZGÜR YANKAYA,17.08.2013 - 20:00
1001,https://www.tff.org/Default.aspx?pageId=29&macId=118454,TORKU KONYASPOR,3,FENERBAHÇE A.Ş.,2,BŞ BLD ATATÜRK - KONYA,TOLGA ÖZKALFA,17.08.2013 - 21:45
1003,https://www.tff.org/Default.aspx?pageId=29&macId=118456,AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,SANİCA BORU ELAZIĞSPOR,1,MANİSA 19 MAYIS - MANİSA,ALİ PALABIYIK,18.08.2013 - 20:00
1009,https://www.tff.org/Default.aspx?pageId=29&macId=118462,ESKİŞEHİRSPOR,2,BURSASPOR,0,ESKİŞEHİR ATATÜRK - ESKİŞEHİR,FIRAT AYDINUS,18.08.2013 - 20:00
1006,https://www.tff.org/Default.aspx?pageId=29&macId=118459,BEŞİKTAŞ A.Ş.,2,TRABZONSPOR A.Ş.,0,ATATÜRK OLİMPİYAT - İSTANBUL,HALİS ÖZKAHYA,18.08.2013 - 21:45
1004,https://www.tff.org/Default.aspx?pageId=29&macId=118457,KAYSERİSPOR,1,SİVASSPOR,0,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,YUNUS YILDIRIM,19.08.2013 - 20:00
1008,https://www.tff.org/Default.aspx?pageId=29&macId=118461,GALATASARAY A.Ş.,2,GAZİANTEPSPOR,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,BARIŞ ŞİMŞEK,19.08.2013 - 21:45
1017,https://www.tff.org/Default.aspx?pageId=29&macId=118470,GENÇLERBİRLİĞİ,3,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,ANKARA 19 MAYIS - ANKARA,ABDULLAH YILMAZ,23.08.2013 - 21:45
1010,https://www.tff.org/Default.aspx?pageId=29&macId=118463,KASIMPAŞA A.Ş.,3,KAYSERİSPOR,1,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,KUDDUSİ MÜFTÜOĞLU,24.08.2013 - 20:00
1011,https://www.tff.org/Default.aspx?pageId=29&macId=118464,GAZİANTEPSPOR,0,MEDİCAL PARK ANTALYASPOR,0,KAMİL OCAK - GAZİANTEP,HÜSEYİN SABANCI,24.08.2013 - 21:45
1016,https://www.tff.org/Default.aspx?pageId=29&macId=118469,FENERBAHÇE A.Ş.,1,ESKİŞEHİRSPOR,0,FB ŞÜKRÜ SARACOĞLU - İSTANBUL,İLKER MERAL,24.08.2013 - 21:45
1014,https://www.tff.org/Default.aspx?pageId=29&macId=118467,SANİCA BORU ELAZIĞSPOR,2,KARDEMİR D.Ç. KARABÜKSPOR,2,ELAZIĞ ATATÜRK - ELAZIĞ,ÇAĞATAY ŞAHAN,25.08.2013 - 20:15
1015,https://www.tff.org/Default.aspx?pageId=29&macId=118468,SİVASSPOR,2,TORKU KONYASPOR,0,SİVAS 4 EYLÜL - SİVAS,HÜSEYİN GÖÇEK,25.08.2013 - 20:15
1018,https://www.tff.org/Default.aspx?pageId=29&macId=118471,BURSASPOR,1,GALATASARAY A.Ş.,1,BURSA ATATÜRK - BURSA,MUSTAFA KAMİL ABİTOĞLU,25.08.2013 - 21:45
1013,https://www.tff.org/Default.aspx?pageId=29&macId=118466,TRABZONSPOR A.Ş.,2,ÇAYKUR RİZESPOR A.Ş.,1,HÜSEYİN AVNİ AKER - TRABZON,BÜLENT YILDIRIM,26.08.2013 - 20:00
1012,https://www.tff.org/Default.aspx?pageId=29&macId=118465,KAYSERİ ERCİYESSPOR,2,BEŞİKTAŞ A.Ş.,4,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,SERKAN ÇINAR,26.08.2013 - 21:45
1022,https://www.tff.org/Default.aspx?pageId=29&macId=118475,TORKU KONYASPOR,1,KASIMPAŞA A.Ş.,2,BŞ BLD ATATÜRK - KONYA,YUNUS YILDIRIM,30.08.2013 - 20:00
1019,https://www.tff.org/Default.aspx?pageId=29&macId=118472,ESKİŞEHİRSPOR,0,GALATASARAY A.Ş.,0,ESKİŞEHİR ATATÜRK - ESKİŞEHİR,CÜNEYT ÇAKIR,30.08.2013 - 21:45
1020,https://www.tff.org/Default.aspx?pageId=29&macId=118473,KAYSERİSPOR,1,SANİCA BORU ELAZIĞSPOR,3,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,VOLKAN BAYARSLAN,31.08.2013 - 20:00
1025,https://www.tff.org/Default.aspx?pageId=29&macId=118478,MEDİCAL PARK ANTALYASPOR,1,BURSASPOR,2,AKDENİZ ÜNİVERSİTESİ STADI - ANTALYA,BARIŞ ŞİMŞEK,31.08.2013 - 21:45
1026,https://www.tff.org/Default.aspx?pageId=29&macId=118479,FENERBAHÇE A.Ş.,5,SİVASSPOR,2,FB ŞÜKRÜ SARACOĞLU - İSTANBUL,ÖZGÜR YANKAYA,31.08.2013 - 21:45
1027,https://www.tff.org/Default.aspx?pageId=29&macId=118480,BEŞİKTAŞ A.Ş.,2,GAZİANTEPSPOR,0,ATATÜRK OLİMPİYAT - İSTANBUL,ALİ PALABIYIK,1.09.2013 - 19:30
1023,https://www.tff.org/Default.aspx?pageId=29&macId=118476,KARDEMİR D.Ç. KARABÜKSPOR,1,GENÇLERBİRLİĞİ,0,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,DENİZ ATEŞ BİTNEL,1.09.2013 - 20:00
1021,https://www.tff.org/Default.aspx?pageId=29&macId=118474,ÇAYKUR RİZESPOR A.Ş.,2,KAYSERİ ERCİYESSPOR,1,YENİ RİZE ŞEHİR - RİZE,SÜLEYMAN ABAY,1.09.2013 - 20:30
1024,https://www.tff.org/Default.aspx?pageId=29&macId=118477,AKHİSAR BELEDİYE GENÇLİK VE SPOR,3,TRABZONSPOR A.Ş.,0,MANİSA 19 MAYIS - MANİSA,METE KALKAVAN,1.09.2013 - 21:45
1030,https://www.tff.org/Default.aspx?pageId=29&macId=118483,GALATASARAY A.Ş.,1,MEDİCAL PARK ANTALYASPOR,1,ALİ SAMİ YEN SPOR KOMPLEKSİ TÜRK TELEKOM STADYUMU,TOLGA ÖZKALFA,13.09.2013 - 20:00
1031,https://www.tff.org/Default.aspx?pageId=29&macId=118484,KAYSERİ ERCİYESSPOR,1,AKHİSAR BELEDİYE GENÇLİK VE SPOR,0,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,HÜSEYİN GÖÇEK,14.09.2013 - 18:00
1028,https://www.tff.org/Default.aspx?pageId=29&macId=118481,TRABZONSPOR A.Ş.,1,KARDEMİR D.Ç. KARABÜKSPOR,0,HÜSEYİN AVNİ AKER - TRABZON,SERKAN ÇINAR,14.09.2013 - 20:30
1035,https://www.tff.org/Default.aspx?pageId=29&macId=118488,GAZİANTEPSPOR,2,ÇAYKUR RİZESPOR A.Ş.,5,KAMİL OCAK - GAZİANTEP,FIRAT AYDINUS,14.09.2013 - 20:30
1032,https://www.tff.org/Default.aspx?pageId=29&macId=118485,GENÇLERBİRLİĞİ,1,KAYSERİSPOR,1,ANKARA 19 MAYIS - ANKARA,CÜNEYT ÇAKIR,15.09.2013 - 18:00
1034,https://www.tff.org/Default.aspx?pageId=29&macId=118487,SİVASSPOR,3,ESKİŞEHİRSPOR,2,SİVAS 4 EYLÜL - SİVAS,KUDDUSİ MÜFTÜOĞLU,15.09.2013 - 18:00
1029,https://www.tff.org/Default.aspx?pageId=29&macId=118482,SANİCA BORU ELAZIĞSPOR,2,TORKU KONYASPOR,0,ELAZIĞ ATATÜRK - ELAZIĞ,MUSTAFA İLKER COŞKUN,15.09.2013 - 20:30
1036,https://www.tff.org/Default.aspx?pageId=29&macId=118489,BURSASPOR,0,BEŞİKTAŞ A.Ş.,3,BURSA ATATÜRK - BURSA,BÜLENT YILDIRIM,15.09.2013 - 20:30
1033,https://www.tff.org/Default.aspx?pageId=29&macId=118486,KASIMPAŞA A.Ş.,2,FENERBAHÇE A.Ş.,3,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,MUSTAFA KAMİL ABİTOĞLU,16.09.2013 - 20:00
1042,https://www.tff.org/Default.aspx?pageId=29&macId=118495,KARDEMİR D.Ç. KARABÜKSPOR,0,KAYSERİ ERCİYESSPOR,0,DR.NECMETTİN ŞEYHOĞLU - KARABÜK,ALİ PALABIYIK,20.09.2013 - 20:00
1043,https://www.tff.org/Default.aspx?pageId=29&macId=118496,AKHİSAR BELEDİYE GENÇLİK VE SPOR,2,GAZİANTEPSPOR,0,MANİSA 19 MAYIS - MANİSA,SUAT ARSLANBOĞA,20.09.2013 - 20:00
