Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1001,https://www.tff.org/Default.aspx?pageId=397&macId=17080,BEŞİKTAŞ                                          ,1,TRABZONSPOR                                       ,2,BEŞİKTAŞ İNÖNÜ,MUSTAFA ÇULCU,10.08.2001 - 20:04
1004,https://www.tff.org/Default.aspx?pageId=397&macId=17083,GÖZTEPE A.Ş.                                      ,2,BURSASPOR                                         ,0,İZMİR ALSANCAK,ALİ ULUYOL,11.08.2001 - 17:00
1002,https://www.tff.org/Default.aspx?pageId=397&macId=17081,GENÇLERBİRLİĞİ                                    ,4,DİYARBAKIRSPOR                                    ,4,ANKARA 19 MAYIS,METİN SEVAL,11.08.2001 - 19:00
1003,https://www.tff.org/Default.aspx?pageId=397&macId=17082,FENERBAHÇE                                        ,3,SAMSUNSPOR                                        ,0,FB ŞÜKRÜ SARACOĞLU,EROL ERSOY,11.08.2001 - 19:00
1007,https://www.tff.org/Default.aspx?pageId=397&macId=17084,ÇAYKUR RİZESPOR                                   ,0,KOCAELİSPOR                                       ,0,RİZE ATATÜRK,ÜNSAL ÇİMEN,11.08.2001 - 19:05
1005,https://www.tff.org/Default.aspx?pageId=397&macId=17085,İSTANBULSPOR A.Ş.                                 ,1,MALATYASPOR                                       ,0,GÜNGÖREN BELEDİYE,MUTLU ÇELİK,12.08.2001 - 17:00
1006,https://www.tff.org/Default.aspx?pageId=397&macId=17086,ANTALYASPOR A.Ş.                                  ,1,MKE ANKARAGÜCÜ                                    ,8,ANTALYA ATATÜRK,İSMET ARZUMAN,12.08.2001 - 19:00
1008,https://www.tff.org/Default.aspx?pageId=397&macId=17087,DENİZLİSPOR                                       ,5,YİMPAŞ YOZGATSPOR A.Ş.                            ,0,DENİZLİ ATATÜRK,SELÇUK DERELİ,12.08.2001 - 19:00
1009,https://www.tff.org/Default.aspx?pageId=397&macId=17088,GAZİANTEPSPOR                                     ,1,GALATASARAY                                       ,1,KAMİL OCAK,BÜLENT UZUN,12.08.2001 - 19:00
1015,https://www.tff.org/Default.aspx?pageId=397&macId=17108,BURSASPOR                                         ,2,BEŞİKTAŞ                                          ,2,BURSA ATATÜRK,MURAT ILGAZ,17.08.2001 - 20:00
1010,https://www.tff.org/Default.aspx?pageId=397&macId=17109,DİYARBAKIRSPOR                                    ,1,GÖZTEPE A.Ş.                                      ,2,KAMİL OCAK,YILNUR ÖNEN,18.08.2001 - 19:00
1012,https://www.tff.org/Default.aspx?pageId=397&macId=17110,KOCAELİSPOR                                       ,3,ANTALYASPOR A.Ş.                                  ,1, İSMETPAŞA,SADIK İLHAN,18.08.2001 - 19:00
1014,https://www.tff.org/Default.aspx?pageId=397&macId=17111,GENÇLERBİRLİĞİ                                    ,2,SAMSUNSPOR                                        ,2,ANKARA 19 MAYIS,SABİT HACIÖMEROĞLU,18.08.2001 - 19:00
1018,https://www.tff.org/Default.aspx?pageId=397&macId=17112,GALATASARAY                                       ,1,DENİZLİSPOR                                       ,0,ALİ SAMİ YEN,METİN TOKAT,18.08.2001 - 19:00
1011,https://www.tff.org/Default.aspx?pageId=397&macId=17113,YİMPAŞ YOZGATSPOR A.Ş.                            ,2,ÇAYKUR RİZESPOR                                   ,1,YOZGAT BOZOK,KADİR TOZLU,19.08.2001 - 17:00
1017,https://www.tff.org/Default.aspx?pageId=397&macId=17116,İSTANBULSPOR A.Ş.                                 ,1,FENERBAHÇE                                        ,0,GÜNGÖREN BELEDİYE,İSMET CENGİZ,19.08.2001 - 17:00
1013,https://www.tff.org/Default.aspx?pageId=397&macId=17114,MKE ANKARAGÜCÜ                                    ,6,MALATYASPOR                                       ,0,ANKARA 19 MAYIS,KUDDUSİ MÜFTÜOĞLU,19.08.2001 - 19:00
1016,https://www.tff.org/Default.aspx?pageId=397&macId=17115,TRABZONSPOR                                       ,2,GAZİANTEPSPOR                                     ,1,HÜSEYİN AVNİ AKER,MUHİTTİN BOŞAT,19.08.2001 - 19:00
1026,https://www.tff.org/Default.aspx?pageId=397&macId=17161,TRABZONSPOR                                       ,5,BURSASPOR                                         ,0,HÜSEYİN AVNİ AKER,EROL ERSOY,24.08.2001 - 20:00
1020,https://www.tff.org/Default.aspx?pageId=397&macId=17162,GÖZTEPE A.Ş.                                      ,2,SAMSUNSPOR                                        ,1,İZMİR ALSANCAK,ŞAHİN TAŞKINSOY,25.08.2001 - 17:00
1022,https://www.tff.org/Default.aspx?pageId=397&macId=17163,BEŞİKTAŞ                                          ,4,DİYARBAKIRSPOR                                    ,0,BEŞİKTAŞ İNÖNÜ,ALİ AYDIN,25.08.2001 - 19:00
1023,https://www.tff.org/Default.aspx?pageId=397&macId=17164,GENÇLERBİRLİĞİ                                    ,0,İSTANBULSPOR A.Ş.                                 ,1,ANKARA 19 MAYIS,KAZIM ERÇAKIR,25.08.2001 - 19:00
1027,https://www.tff.org/Default.aspx?pageId=397&macId=17165,ANTALYASPOR A.Ş.                                  ,3,YİMPAŞ YOZGATSPOR A.Ş.                            ,3,ANTALYA ATATÜRK,HARUN YİĞİT,25.08.2001 - 19:00
1019,https://www.tff.org/Default.aspx?pageId=397&macId=17166,GAZİANTEPSPOR                                     ,0,DENİZLİSPOR                                       ,0,KAMİL OCAK,ZAFER ÖNDER İPEK,26.08.2001 - 19:00
1021,https://www.tff.org/Default.aspx?pageId=397&macId=17167,KOCAELİSPOR                                       ,2,MALATYASPOR                                       ,0, İSMETPAŞA,FERHAT GÜNDOĞDU,26.08.2001 - 19:00
1024,https://www.tff.org/Default.aspx?pageId=397&macId=17168,FENERBAHÇE                                        ,4,MKE ANKARAGÜCÜ                                    ,1,FB ŞÜKRÜ SARACOĞLU,SERDAR TATLI,26.08.2001 - 19:00
1025,https://www.tff.org/Default.aspx?pageId=397&macId=17169,ÇAYKUR RİZESPOR                                   ,3,GALATASARAY                                       ,6,RİZE ATATÜRK,MUSTAFA ÇULCU,26.08.2001 - 19:00
1028,https://www.tff.org/Default.aspx?pageId=397&macId=17339,MKE ANKARAGÜCÜ                                    ,2,GENÇLERBİRLİĞİ                                    ,5,ANKARA 19 MAYIS,EROL ERSOY,7.09.2001 - 20:00
1031,https://www.tff.org/Default.aspx?pageId=397&macId=17340,KOCAELİSPOR                                       ,3,FENERBAHÇE                                        ,3, İSMETPAŞA,MUSA ERYILMAZ,8.09.2001 - 19:00
1033,https://www.tff.org/Default.aspx?pageId=397&macId=17341,DİYARBAKIRSPOR                                    ,3,TRABZONSPOR                                       ,1,DİYARBAKIR ATATÜRK,MURAT ILGAZ,8.09.2001 - 19:00
1034,https://www.tff.org/Default.aspx?pageId=397&macId=17342,BURSASPOR                                         ,0,GAZİANTEPSPOR                                     ,2,BURSA ATATÜRK,ORHAN ERDEMİR,8.09.2001 - 19:00
1036,https://www.tff.org/Default.aspx?pageId=397&macId=17343,GALATASARAY                                       ,2,ANTALYASPOR A.Ş.                                  ,1,ALİ SAMİ YEN,MUTLU ÇELİK,8.09.2001 - 19:00
1035,https://www.tff.org/Default.aspx?pageId=397&macId=17347,YİMPAŞ YOZGATSPOR A.Ş.                            ,3,MALATYASPOR                                       ,0,YOZGAT BOZOK,İBRAHİM ÇINAR,9.09.2001 - 16:00
1032,https://www.tff.org/Default.aspx?pageId=397&macId=17346,İSTANBULSPOR A.Ş.                                 ,0,GÖZTEPE A.Ş.                                      ,0,GÜNGÖREN BELEDİYE,CEM TOSYALI,9.09.2001 - 16:30
1029,https://www.tff.org/Default.aspx?pageId=397&macId=17344,SAMSUNSPOR,0,MEHMET YILMAZ,0,SAMSUN 19 MAYIS,,9.09.2001 - 19:00
1030,https://www.tff.org/Default.aspx?pageId=397&macId=17345,DENİZLİSPOR                                       ,1,ÇAYKUR RİZESPOR                                   ,2,DENİZLİ ATATÜRK,ÇETİN SARIGÜL,9.09.2001 - 19:00
1307,https://www.tff.org/Default.aspx?pageId=397&macId=17845,SAMSUNSPOR                                        ,2,BEŞİKTAŞ                                          ,1,ANKARA 19 MAYIS,MUSTAFA ÇULCU,10.10.2001 - 19:00
1037,https://www.tff.org/Default.aspx?pageId=397&macId=17438,BEŞİKTAŞ                                          ,0,İSTANBULSPOR A.Ş.                                 ,1,BEŞİKTAŞ İNÖNÜ,MUHİTTİN BOŞAT,14.09.2001 - 20:00
1044,https://www.tff.org/Default.aspx?pageId=397&macId=17441,MALATYASPOR                                       ,0,GALATASARAY                                       ,2,MALATYA İNÖNÜ,SELÇUK DERELİ,15.09.2001 - 15:30
1038,https://www.tff.org/Default.aspx?pageId=397&macId=17439,BURSASPOR                                         ,2,DİYARBAKIRSPOR                                    ,1,BURSA ATATÜRK,ÜNSAL ÇİMEN,15.09.2001 - 19:00
1043,https://www.tff.org/Default.aspx?pageId=397&macId=17440,FENERBAHÇE                                        ,1,YİMPAŞ YOZGATSPOR A.Ş.                            ,0,FB ŞÜKRÜ SARACOĞLU,KUDDUSİ MÜFTÜOĞLU,15.09.2001 - 19:00
1045,https://www.tff.org/Default.aspx?pageId=397&macId=17442,ANTALYASPOR A.Ş.                                  ,1,DENİZLİSPOR                                       ,0,ANTALYA ATATÜRK,SADIK İLHAN,15.09.2001 - 19:00
1041,https://www.tff.org/Default.aspx?pageId=397&macId=17445,GÖZTEPE A.Ş.                                      ,2,MKE ANKARAGÜCÜ                                    ,1,İZMİR ALSANCAK,KADİR TOZLU,16.09.2001 - 16:30
1039,https://www.tff.org/Default.aspx?pageId=397&macId=17443,TRABZONSPOR                                       ,1,SAMSUNSPOR                                        ,2,HÜSEYİN AVNİ AKER,SERDAR TATLI,16.09.2001 - 19:00
1040,https://www.tff.org/Default.aspx?pageId=397&macId=17444,GAZİANTEPSPOR                                     ,0,ÇAYKUR RİZESPOR                                   ,2,KAMİL OCAK,ALİ ULUYOL,16.09.2001 - 19:00
1042,https://www.tff.org/Default.aspx?pageId=397&macId=17446,GENÇLERBİRLİĞİ                                    ,2,KOCAELİSPOR                                       ,2,ANKARA 19 MAYIS,SEBAHATTİN BİTİRİM,16.09.2001 - 19:00
1049,https://www.tff.org/Default.aspx?pageId=397&macId=17537,KOCAELİSPOR                                       ,2,GÖZTEPE A.Ş.                                      ,0, İSMETPAŞA,İSMET ARZUMAN,21.09.2001 - 20:00
1046,https://www.tff.org/Default.aspx?pageId=397&macId=17538,BURSASPOR                                         ,2,SAMSUNSPOR                                        ,1,BURSA ATATÜRK,BÜLENT UZUN,22.09.2001 - 19:00
1048,https://www.tff.org/Default.aspx?pageId=397&macId=17539,GALATASARAY                                       ,2,FENERBAHÇE                                        ,0,ALİ SAMİ YEN,METİN TOKAT,22.09.2001 - 19:00
1053,https://www.tff.org/Default.aspx?pageId=397&macId=17540,DENİZLİSPOR                                       ,4,MALATYASPOR                                       ,1,DENİZLİ ATATÜRK,SEBAHATTİN ŞAHİN,22.09.2001 - 19:00
1054,https://www.tff.org/Default.aspx?pageId=397&macId=17544,YİMPAŞ YOZGATSPOR A.Ş.                            ,0,GENÇLERBİRLİĞİ                                    ,2,YOZGAT BOZOK,ORHAN ERDEMİR,23.09.2001 - 16:00
1050,https://www.tff.org/Default.aspx?pageId=397&macId=17541,MKE ANKARAGÜCÜ                                    ,3,BEŞİKTAŞ                                          ,4,ANKARA 19 MAYIS,MUSA ERYILMAZ,23.09.2001 - 19:00
1051,https://www.tff.org/Default.aspx?pageId=397&macId=17542,İSTANBULSPOR A.Ş.                                 ,2,TRABZONSPOR                                       ,1,BEŞİKTAŞ İNÖNÜ,EROL ERSOY,23.09.2001 - 19:00
1052,https://www.tff.org/Default.aspx?pageId=397&macId=17543,ÇAYKUR RİZESPOR                                   ,1,ANTALYASPOR A.Ş.                                  ,1,RİZE ATATÜRK,YILNUR ÖNEN,23.09.2001 - 19:00
1047,https://www.tff.org/Default.aspx?pageId=397&macId=17844,DİYARBAKIRSPOR                                    ,2,GAZİANTEPSPOR                                     ,3,DİYARBAKIR ATATÜRK,SELÇUK DERELİ,10.10.2001 - 19:00
1062,https://www.tff.org/Default.aspx?pageId=397&macId=17645,TRABZONSPOR                                       ,2,MKE ANKARAGÜCÜ                                    ,2,HÜSEYİN AVNİ AKER,MUSTAFA ÇULCU,28.09.2001 - 20:00
1060,https://www.tff.org/Default.aspx?pageId=397&macId=17648,MALATYASPOR                                       ,2,ÇAYKUR RİZESPOR                                   ,1,MALATYA İNÖNÜ,CÜNEYT ÇAKIR,29.09.2001 - 14:00
