Mac_kodu,TFF_mac_linki,Ev_sahibi,Ev_sahibi_gol,Misafir_takim,Misafir_takim_gol,Stat,Ana_hakem,Tarih_saat
1003,https://www.tff.org/Default.aspx?pageId=29&macId=222915,BEŞİKTAŞ A.Ş.,3,ÇAYKUR RİZESPOR A.Ş.,0,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,ZORBAY KÜÇÜK,13.08.2021 - 20:30
1002,https://www.tff.org/Default.aspx?pageId=29&macId=222914,VAVACARS FATİH KARAGÜMRÜK,3,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,2,ATATÜRK OLİMPİYAT - İSTANBUL,CÜNEYT ÇAKIR,14.08.2021 - 19:15
1009,https://www.tff.org/Default.aspx?pageId=29&macId=222921,ALTAY,3,YUKATEL KAYSERİSPOR,0,BORNOVA AZİZ KOCAOĞLU STADYUMU - İZMİR - BORNOVA,SUAT ARSLANBOĞA,14.08.2021 - 21:45
1010,https://www.tff.org/Default.aspx?pageId=29&macId=222922,ATAKAŞ HATAYSPOR,1,KASIMPAŞA A.Ş.,1,YENİ HATAY STADYUMU - HATAY,ARDA KARDEŞLER,14.08.2021 - 21:45
1008,https://www.tff.org/Default.aspx?pageId=29&macId=222920,MEDİPOL BAŞAKŞEHİR FK,0,AYTEMİZ ALANYASPOR,1,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,YAŞAR KEMAL UĞURLU,15.08.2021 - 19:15
1005,https://www.tff.org/Default.aspx?pageId=29&macId=222917,FRAPORT TAV ANTALYASPOR,1,GÖZTEPE A.Ş.,1,ANTALYA STADYUMU - ANTALYA,YASİN KOL,15.08.2021 - 21:45
1007,https://www.tff.org/Default.aspx?pageId=29&macId=222919,ADANA DEMİRSPOR A.Ş.,0,FENERBAHÇE A.Ş.,1,YENİ ADANA STADYUMU - ADANA,ALİ ŞANSALAN,15.08.2021 - 21:45
1004,https://www.tff.org/Default.aspx?pageId=29&macId=222916,ÖZNUR KABLO YENİ MALATYASPOR,1,TRABZONSPOR A.Ş.,5,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,ATİLLA KARAOĞLAN,16.08.2021 - 19:15
1006,https://www.tff.org/Default.aspx?pageId=29&macId=222918,DEMİR GRUP SİVASSPOR,0,İTTİFAK HOLDİNG KONYASPOR,1,BAHÇEŞEHİR KOLEJİ SİVAS 4 EYLÜL STADYUMU - SİVAS,FIRAT AYDINUS,16.08.2021 - 19:15
1001,https://www.tff.org/Default.aspx?pageId=29&macId=222913,GZT GİRESUNSPOR,0,GALATASARAY A.Ş.,2,ÇOTANAK SPOR KOMPLEKSİ - GİRESUN - GİRESUN MERKEZ,ERKAN ÖZDAMAR,16.08.2021 - 21:45
1016,https://www.tff.org/Default.aspx?pageId=29&macId=222928,YUKATEL KAYSERİSPOR,1,ADANA DEMİRSPOR A.Ş.,1,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,TUGAY KAAN NUMANOĞLU,20.08.2021 - 20:30
1012,https://www.tff.org/Default.aspx?pageId=29&macId=222924,KASIMPAŞA A.Ş.,2,GZT GİRESUNSPOR,0,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,ALİ PALABIYIK,21.08.2021 - 19:15
1020,https://www.tff.org/Default.aspx?pageId=29&macId=222932,ÇAYKUR RİZESPOR A.Ş.,0,VAVACARS FATİH KARAGÜMRÜK,0,ÇAYKUR DİDİ - RİZE,VOLKAN BAYARSLAN,21.08.2021 - 19:15
1011,https://www.tff.org/Default.aspx?pageId=29&macId=222923,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,0,BEŞİKTAŞ A.Ş.,0,KALYON STADYUMU - GAZİANTEP,ÜMİT ÖZTÜRK,21.08.2021 - 21:45
1015,https://www.tff.org/Default.aspx?pageId=29&macId=222927,AYTEMİZ ALANYASPOR,1,ALTAY,4,BAHÇEŞEHİR OKULLARI STADYUMU - ANTALYA - ALANYA,METE KALKAVAN,21.08.2021 - 21:45
1017,https://www.tff.org/Default.aspx?pageId=29&macId=222929,İTTİFAK HOLDİNG KONYASPOR,2,MEDİPOL BAŞAKŞEHİR FK,1,MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU - KONYA,HALİS ÖZKAHYA,22.08.2021 - 19:15
1018,https://www.tff.org/Default.aspx?pageId=29&macId=222930,FENERBAHÇE A.Ş.,2,FRAPORT TAV ANTALYASPOR,0,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,HALİL UMUT MELER,22.08.2021 - 21:45
1019,https://www.tff.org/Default.aspx?pageId=29&macId=222931,GÖZTEPE A.Ş.,0,ÖZNUR KABLO YENİ MALATYASPOR,1,GÜRSEL AKSEL STADYUMU - İZMİR,BAHATTİN ŞİMŞEK,22.08.2021 - 21:45
1014,https://www.tff.org/Default.aspx?pageId=29&macId=222926,TRABZONSPOR A.Ş.,2,DEMİR GRUP SİVASSPOR,1,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,ABDULKADİR BİTİGEN,23.08.2021 - 19:15
1013,https://www.tff.org/Default.aspx?pageId=29&macId=222925,GALATASARAY A.Ş.,2,ATAKAŞ HATAYSPOR,1,ATATÜRK OLİMPİYAT - İSTANBUL,HÜSEYİN GÖÇEK,23.08.2021 - 21:45
1025,https://www.tff.org/Default.aspx?pageId=29&macId=222937,FRAPORT TAV ANTALYASPOR,3,ÇAYKUR RİZESPOR A.Ş.,2,ANTALYA STADYUMU - ANTALYA,ÖZGÜR YANKAYA,27.08.2021 - 20:30
1027,https://www.tff.org/Default.aspx?pageId=29&macId=222939,ADANA DEMİRSPOR A.Ş.,1,İTTİFAK HOLDİNG KONYASPOR,1,YENİ ADANA STADYUMU - ADANA,ALPER ULUSOY,27.08.2021 - 21:45
1024,https://www.tff.org/Default.aspx?pageId=29&macId=222936,ÖZNUR KABLO YENİ MALATYASPOR,2,GAZİANTEP FUTBOL KULÜBÜ A.Ş.,0,YENİ MALATYA STADYUMU - MALATYA - MALATYA MERKEZ,SARPER BARIŞ SAKA,28.08.2021 - 19:15
1028,https://www.tff.org/Default.aspx?pageId=29&macId=222940,MEDİPOL BAŞAKŞEHİR FK,0,YUKATEL KAYSERİSPOR,1,BAŞAKŞEHİR FATİH TERİM - İSTANBUL - BAŞAKŞEHİR,MUSTAFA ÖĞRETMENOĞLU,28.08.2021 - 19:15
1023,https://www.tff.org/Default.aspx?pageId=29&macId=222935,BEŞİKTAŞ A.Ş.,1,VAVACARS FATİH KARAGÜMRÜK,0,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,CÜNEYT ÇAKIR,28.08.2021 - 21:45
1030,https://www.tff.org/Default.aspx?pageId=29&macId=222942,ATAKAŞ HATAYSPOR,5,AYTEMİZ ALANYASPOR,0,YENİ HATAY STADYUMU - HATAY,MERT GÜZENGE,28.08.2021 - 21:45
1022,https://www.tff.org/Default.aspx?pageId=29&macId=222934,KASIMPAŞA A.Ş.,2,GALATASARAY A.Ş.,2,RECEP TAYYİP ERDOĞAN STADYUMU - İSTANBUL,FIRAT AYDINUS,29.08.2021 - 19:15
1026,https://www.tff.org/Default.aspx?pageId=29&macId=222938,DEMİR GRUP SİVASSPOR,2,GÖZTEPE A.Ş.,2,BAHÇEŞEHİR KOLEJİ SİVAS 4 EYLÜL STADYUMU - SİVAS,BURAK ŞEKER,29.08.2021 - 19:15
1021,https://www.tff.org/Default.aspx?pageId=29&macId=222933,GZT GİRESUNSPOR,0,TRABZONSPOR A.Ş.,1,ÇOTANAK SPOR KOMPLEKSİ - GİRESUN - GİRESUN MERKEZ,ALİ ŞANSALAN,29.08.2021 - 21:45
1029,https://www.tff.org/Default.aspx?pageId=29&macId=222941,ALTAY,0,FENERBAHÇE A.Ş.,2,BORNOVA AZİZ KOCAOĞLU STADYUMU - İZMİR - BORNOVA,YAŞAR KEMAL UĞURLU,29.08.2021 - 21:45
1032,https://www.tff.org/Default.aspx?pageId=29&macId=222944,VAVACARS FATİH KARAGÜMRÜK,4,ADANA DEMİRSPOR A.Ş.,0,ATATÜRK OLİMPİYAT - İSTANBUL,ÜMİT ÖZTÜRK,11.09.2021 - 17:00
1037,https://www.tff.org/Default.aspx?pageId=29&macId=222949,İTTİFAK HOLDİNG KONYASPOR,3,ALTAY,1,MEDAŞ KONYA BÜYÜKŞEHİR STADYUMU - KONYA,ERKAN ÖZDAMAR,11.09.2021 - 17:00
1033,https://www.tff.org/Default.aspx?pageId=29&macId=222945,BEŞİKTAŞ A.Ş.,3,ÖZNUR KABLO YENİ MALATYASPOR,0,VODAFONE PARK - İSTANBUL - BEŞİKTAŞ,ARDA KARDEŞLER,11.09.2021 - 20:00
1036,https://www.tff.org/Default.aspx?pageId=29&macId=222948,YUKATEL KAYSERİSPOR,2,KASIMPAŞA A.Ş.,0,BÜYÜKŞEHİR BELEDİYESİ KADİR HAS - KAYSERİ,YASİN KOL,11.09.2021 - 20:00
1038,https://www.tff.org/Default.aspx?pageId=29&macId=222950,FENERBAHÇE A.Ş.,1,DEMİR GRUP SİVASSPOR,1,ÜLKER STADYUMU FB ŞÜKRÜ SARACOĞLU SPOR KOMPLEKSİ -,HALİS ÖZKAHYA,12.09.2021 - 17:00
1040,https://www.tff.org/Default.aspx?pageId=29&macId=222952,ÇAYKUR RİZESPOR A.Ş.,0,ATAKAŞ HATAYSPOR,2,ÇAYKUR DİDİ - RİZE,HALİL UMUT MELER,12.09.2021 - 17:00
1034,https://www.tff.org/Default.aspx?pageId=29&macId=222946,TRABZONSPOR A.Ş.,2,GALATASARAY A.Ş.,2,ŞENOL GÜNEŞ SPOR KOMPLEKSİ - TRABZON - TRABZON MER,ALİ PALABIYIK,12.09.2021 - 20:00
1039,https://www.tff.org/Default.aspx?pageId=29&macId=222951,GÖZTEPE A.Ş.,2,MEDİPOL BAŞAKŞEHİR FK,1,GÜRSEL AKSEL STADYUMU - İZMİR,TUGAY KAAN NUMANOĞLU,12.09.2021 - 20:00
